FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SS 2014","Andalucian Zephyr","Namura Shipbuilding","","Three Kingsss Shipping","Japan","","179.96m","","9667526","21,514gt","nil","","","Mitsubishi 6UEC45LSE-B2"
"SS 2014","Asia Vision","Samsung Heavy Industries","Nakashima","Chevron Transport","Korea","12 March 2014","285.00m","","9606948","101,427gt","1","","Wärtsilä","12V50DF, 6L50DF"
"SS 2014","Atlantic Gas","STX Offshore & Shipbuilding","MMG","Ultranav","Korea","28 September 2014","159.83m","","9662019","20,151gt","nil","","MAN Diesel & Turbo","6S50ME-C8.2 (Tier II)"
"SS 2014","Balt Flot 1","JSC Okskaya Sudoverf","STX Offshore &","BF Tanker","Ukraine","17 October 2014","140.95m","","9751872","3,928gt","nil","7,881tonnes","","6L20"
"SS 2014","Berkarar","Uljanik","Rudder-propeller/ Schottel SRP1012FP","The State Service of","Croatia","22 October 2014","155.80m","","9684330","9,791gt","nil","","Wärtsilä","9L26"
"SS 2014","Burgan","Hyundai Mipo Dockyards","Wärtsilä","Kuwait Oil","Korea","5 December 2014","185.99m","","9656022","31,445gt","3","","Hyundai-Wärtsilä, two-stroke, direct reversible, crosshead type diesel engine with constant pressure turbocharging","Hyundai-Wärtsilä 7RT-flex50-D (Tier II)"
"SS 2014","Cascade","Jiangmen Nanyang","Nakashima","CV1 CVF II Lux Master","China","6 March 2014","179.90m","","9670418","","nil","48,978tonnes","MAN B&W","5S50ME-B9.2"
"SS 2014","CCNI Iquique","HHIC-Phil","Bestway/ Wärtsilä","Paxi Maritime Corporation","Korea","03 June 2014","270.90m","","9679555","70,262gt","nil","103,160tonnes","Wärtsilä","7RT-flex82T-B"
"SS 2014","Ceona Amazon","Lloyd Werft","Hanjin Heavy","Ceona Services (UK) Limited","UK","30 October 2014","199.40m","","9698094","33,000gt","nil","","MAN","9L32/44 CR 8L32/44CR"
"SS 2014","Charlotte Schulte","HHIC-Phil","Steerprop SP50D","Bernhard Schulte","Korea","November 2014","255.00m","","9665657","51,870gt","3","84,200tonnes","MAN Turbo Diesel","6G80ME-C9.2"
