FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SSS 2009","Adams Challenge","Astilleros Balenciaga SA","5.5m","","UK","April 2009","85.4m","15kts","","4098gt","-","","Wärtsilä/ LCT-FS275-S/WN",""
"SSS 2009","Aramara","Strategic Marine Mexico","Southerly Designs / Strategic Marine","Arrendadora Ocean","Mexico","October 2009","52m","","","","1","","Cummins","KTA 50M"
"SSS 2009","Ba Fong","Wang Tak Engineering &","Wang Tak Engineering &","Xiamen","People’s Republic of China","April 2009","35.60m","","","322gt","0","116tonnes","MTU","16V2000M70"
"SSS 2009","Carolyn Dorothy","Foss Shipyard, Rainier, Oregon","Robert Allan Ltd and","Foss Maritime Company","USA","January 2009","23.7m","14kts","","144grt","9 (Dolphin class, non hybrids)","","Cummins","QSK50 Tier II"
"SSS 2009","CE2","Lung Teh Shipbuilding","Lung Teh Shipbuilding Co Ltd","Hong Kong Customs and","Hong Kong Special Administrative","August 2009","30m","26.75kts","","","0","","Caterpillar","3516C"
"SSS 2009","City of Portland","AF Theriault & Son Ltd, Nova Scotia, Canada","Robert Allan Limited","Portland Fire Department","USA","26 July 2009","20m","18kts","","","1","33.9tonnes","CAT","C-12"
"SSS 2009","Costante Neri and","Astilleros Gondan SA, Spain","Cintranaval/Defcar","Fratelli Neri SpA, Italy","Italy","June 2009","35m","13.5kts","","733grt","-","","MAN, 9L27/38",""
"SSS 2009","Far Samson","STX Norway","Rolls-Royce Marine, Ship Technology Offshore, Ulsteinvik","Farstad Shipping","Norway","24 March 2009","121.5m","19kts","","14,740tonnes","","","Rolls-Royce","33L9A (engine), AVK (generator)"
"SSS 2009","Farasan","Austal","Austal","Kingdom of","Saudi Arabia","April 2009","68.6m","","","2438gt","1","731","MTU","16V 4000 M7 3L"
"SSS 2009","Hai Yu","Wang Tak Engineering &","Wang Tak Engineering &","Zhuhai Haitong Shipping","People's Republic of China","September 2009 (Hai Jun) and","33m","","","322gt","1 (Hai Jun)","116tonnes","Caterpillar","C-32"
"SSS 2009","Kogalym","Keppel Singmarine Pte Ltd","Robert Allan Ltd / Marine","Lukoil – Kaliningradmorneft","Russia","July 2009","65m","","","1760gt","4","2761tonnes","MAK","8M25"
"SSS 2009","Lambeth","Alnmaritec Ltd","Amgram Limited / Newcastle","Port of London Authority (PLA)","UK","September 2009","13.5m","21kts (lightship)","","","0","11tonnes","John Deere","6068TFM"
"SSS 2009","Lamnalco Sana’a","Med Marine, Eregli","Robert Allan Limited, Canada","Lamnalco Group","Sharjah, United Arab Emirates","April 2009","35.8m","15kts","","724gt","3 (including Lamnalco Sana’a)","1355tonnes (full load, without deck cargo)","Wärtsilä","9L26"
"SSS 2009","Mako Shark / PH51","Damen Shipyards","Damen Shipyards","Singapore Police","Singapore","23 January 2009","35m","35+ knots","","","6","","MTU","16V4000 M71"
"SSS 2009","Moldefjord","Gdansk Shiprepair","LMG Marin in cooperation with","Fjord1 MRF AS","Norway/Poland","30 December 2009","122.7m","","","2971gt","1","","Siemens","1LH8457"
"SSS 2009","MPI Don Quixote","South Boats Special","V3.8A00","MPI Workboats Ltd","UK","May 2009","20.9m","27kts","","45.86gt","1","53.50tonnes","1 x Onan",""
"SSS 2009","NB555","N. Sundin Dockstavarvet AB","N. Sundin Dockstavarvet AB","-","Sweden","July 2009","17.20m","53+ kts","","","2","21tonnes","MAN","D2842"
"SSS 2009","Passió per Formentera","Hijos de J Barreras","Hijos de J Barreras","Eurolineas Maritimas SA (Baleària)","Malta","14 September 2009","101m","","","6146t","-","","Rolls-Royce",""
"SSS 2009","Pilbara Thor","Shipco Marine","Robert Allan Limited","Rio Tinto","Australia","late December 2008","32m","12.8kts","","474gt","2","902tonnes","Niigata","6L 28HX"
"SSS 2009","Samson Supporter and","Strategic Marine Pte Ltd (Singapore)","Southerly Designs / Strategic Marine","Samson Maritime","Australia","May and August 2009","40.37m","28kts (lightship)","","","2","","Cummins","2 x KTA 28M2, 1 x KTA 50 M2"
"SSS 2009","SD Eva","Damen Shipyards Gorinchem","Damen Shipyards Gorinchem","SD Marine Services","UK","August 2009","33.21m","23.4kts at 115tonnes","","166gt","11 (other customers)","140.74t","Caterpillar","C32 TTA (WOSR) - C"
"SSS 2009","Seaspan Resolution","JM Martinac Shipbuilding, Tacoma, Washington","Robert Allan Ltd","Seaspan International Ltd, a division of Washington Marine Group","Canada","July 2009","29.90m","13kts","","469grt","2","738.4tonnes","EMD","12-710G7C-T2"
"SSS 2009","Seychelles Paradise","Lindenau GmbH","Lindenau GmbH","Seychelles Petroleum","Republic of Seychelles","31 October 2009","67.80m","11.5kts, design draught","","1.545gt","0","","Volvo","D16 MH"
"SSS 2009","SMBC Monterrey","Unión Naval Valencia SA","Robert Allan Ltd","Servicios Marítimos de","Mexico","February 2009","32m","14kts/ 2500nm","","495grt","3","842.3tonnes","MTU/Detroit Diesel","16V 4000 M71 marine diesel engines"
"SSS 2009","Spinola","Astilleros Armon SA of","Robert Allan Ltd","Tug Malta, a subsidiary of","Malta","July 2009","36.65m","14.1kts","","694gt","2","1287tonnes at loadline","MaK","MaK 8M25"
"SSS 2009","Spitfire","Safehaven Marine","Safehaven Marine","VT Critical Services for ABP Port of Southampton","UK","2009","16.5m","25kts","","","3","25,000kg","Scania","D16 V8"
"SSS 2009","Sprut","JSC Shipyard ‘Yantar’","Abeking & Rasmussen / FSUE","Coast Guard of Frontier","Russian Federation","10 August 2009","65.9m","21.5kts","","","-","835tonnes","MTU","16V1163TB-73 L"
"SSS 2009","Star Commodore","Cheoy Lee Shipyards Ltd","Robert Allan Ltd","PSA Marine","Singapore","September 2009","27.40m","13kts","","394gt","1 (Star Admiral)","","Caterpillar","3516B"
"SSS 2009","Stril Mariner","Simek AS","Havyard Maritime AS","Simon Møkster","Norway","30 October 2009","78.60m","","","3117gt","0","5994tonnes","Cummins","KTA50DM"
"SSS 2009","Svitzer Kilroom","Freire Construcciones","Robert Allan Ltd","Svitzer – Milford Haven","UK","December 2008/January 2009","39m","","","819gt","0","","",""
"SSS 2009","","","harbour 6.9m / loadline 7.3m","","","","","15.7kts","","","","loadline displacement – 1448tonnes","GE / GE 16V-228",""
"SSS 2009","WG Columbus","Hijos de J Barreras","Ulstein Design","WesternGeco Ltd","Cyprus","April 2009","88.8m","","","","1","","",""
"SSS 2009","Willy T/C653","Astilleros Zamakona Pasaia, Spain","Seacor","Reyser","Spain","April 2009","27.55m","","","","2","","MTU","16V4000M61"
