VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed
"A","U","3.85m","E","","A","26.00m","12.8knots"
"C","K","3.913m","H","","S","29.00m","13.35m"
"E","W","W","F","","A","42.50m","over 15knots @ 100% MCR"
"H","H","H","H","","J","19.50, Length, over fenders..........................................20.20m","11.6knots"
"O","I","J","K","","J","10.8m","37knots"
"S","L","6.5m","R","","1 18 8t th h J","103.7m","+17knots"
"T","M","1.2m","E","","J","18.00m","12.7knots"
"X","G","1.16m","D","","4 4 M","11.83m","27knots"
"D","D","0.75m","N","","N","14m","38knots"
"E","D","1.0m","O","","1 15 5 M","16.10m","50knots"
"H","V","4.15m to props","V","","1 1 N","79.75m","20knots"
"P","D","- -","N","","M","26.40m","25knots"
"A","D","1.3m","F","","J","25.9m","15knots"
"F","A","2.7m","E","","A","56m","38knots"
"L","S","2.70m","S","","2 20 00 02 2","38.00m","12knots"
"N","R","R","U","","2 22 2 F","31.2m","40knots"
"N","I","1.80m","E","","A","42.80m","40knots"
"T","I","3.42m","B","","A","97.22m","46.5knots"
"E","M","1.6m","A","","","14.95m","9knots"
"T","S","1.2m","M","","2 20 00 02 2","13.1m","over 24knots @ 100% MCR"
"A","Y","5.2m","K","","M","67.4m","17knots at draught 4m"
"A","P","5.0m","B","","2 27 7t th h J","66.6m","12.28knots"
"H","K","6.20m","H","","1 16 6 S","88.60m","15.4knots"
"K","S","2.22m","P","","2 26 6 M","29.80m","27.80knots"
"T","U","2.5/4.0m","B","","N","94.08m","+13knots"
