FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SS 2009","Anafi","Hyundai Mipo Dockyard Co,, Ltd","Hyundai Mipo Dockyard Co","Eletson Holdings, Greece","N/A","","173,70m","","9411733","22971","3","","MAN B&W","6S50MC-C7"
"SS 2009","Araon","Hanjin Heavy Industries & Construction Co,, Ltd","Hyundai Heavy","KOPRI (Korea Polar Research Institute)","Korea","February, 2009","111,0m","","9490935","7487","","9071tonnes","",""
"SS 2009","Auriga Leader","Mitsubishi Heavy","ABB OY","Nippon Yusen Kabushiki Kaisha (NYK Line), Japan","N/A","30 September 2009","199,99m","","9402718","60213","1","","Mitsubishi Heavy Industries Ltd","7UEC60LS II (P/U)"
"SS 2009","Baosteel Education","Namura Shipbuilding Co, Ltd","Mitsubishi Heavy","Mitsui O,S,K, Lines","Japan","19 December 2008","319,58m","","9362970","113932","7","","",""
"SS 2009","Beluga Houston","Volharding Shipyards, The Netherlands in cooperation with Hudong Zhonghua Shipyard, Shanghai, China","Mitsubishi Heavy Industries Ltd","Beluga Shipping GmbH / Beluga Fleet Management GmbH","The Netherlands","31 March 2009","168,68m","","9424546","","Nil","30,100tonnes @ 9,50m draft","MAN B&W","7L 58/64"
"SS 2009","C, Galaxy","Hyundai Heavy Industries Co,, Ltd","MAN Diesel","SK Shipping","Korea","3 December 2009","336m","","IMO 9404924","160600","Nil","364,500tonnes","MAN – B&W","6S90MC-C"
"SS 2009","Cape Garland","Mitsui Engineering & Shipbuilding Co,, Ltd","HHI-EMD","Ri Shen Shipping Pte, Ltd","Japan","13 February 2009","292,00m","","9397846","92278","1","","Mitsui MAN B&W","6S70MC-C (Mark 7)"
"SS 2009","Carnival Dream","Fincantieri Cantieri","Nakashima Propeller","Carnival Corporation","Italy","30 January 2009","305,60m","","9378474","128251","Nil","","Wartsila","12 V 46 C"
"SS 2009","CMA CGM Andromeda","Hyundai Heavy","MNG","CMA-CGM","South Korea","18 September 2009","363m","","IMO 9410727","131330","1","171,370tonnes","",""
"SS 2009","Coral Methane","Oshima Shipbuilding Co,, Ltd","HHI-EMD","Glory Ocean Shipping","Japan","29 April 2009","225,00m","","9385477","44684","1","9966tonnes","Kawasaki Heavy Industries, Co,, Ltd","Kawasaki MAN B&W 6S60ME-C"
"SS 2009","Costa Luminosa","La Naval Shipyard","Nakashima Propeller Co,, Ltd","Jan De Nul","Holland / Spain","30 April 2009","213,5m","","9429572","46300","Nil","","MAN Diesel","16 v 48/60 B"
"SS 2009","Desh Vishal","Daewoo Shipbuilding & Marine Engineering Co,, Ltd","2 x MAN","The Shipping","Republic of Korea","June 2009","333,0m","","9371749","162400","1","363,700tonnes","B&W","7S80MC-C"
"SS 2009","Discoverer Clear Leader","Daewoo Shipbuilding &","DSME / Hyundai Heavy Industries Co, Ltd","Transocean Offshore","KOREA","November 2009","254,4m","","9386122","65500","1","101,500tonnes","MAN","14V32/40"
"SS 2009","E,R, Bergamo","Hyundai Mipo Dockyard","Rolls-Royce ISO 484 /1-1981 class 1","E,R, Schiffahrt","Korea","26 March 2009","187,88m","","9483188","32613","1","","Hyundai – B & W","6S50MC-C7"
"SS 2009","Emmy Schulte","Jiangxi Jiangzhou United","Hyundai Heavy","Hanseatic Tanker (commercial operator) / Bernhard Schulte","China","31 July 2009","144,0m","","9394519","11233","Nil","21,901tonnes","MAN B&W","6S35MC MK 7"
