FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2022","AmoreMio","HyundaiSamhoHeavy","MANEnergySolutions","CapitalShip","RepublicofKorea","25July2022","329.98","14.8atNCR","","154,004","","342,576","HyundaiHeavy","Hyundai- MANB & W7G80ME- C9.5- HPSCR","1"
"SS 2022","AuraSeaways","GuangzhouShipyard","Wärtsilä","DFDSA /S","Finland","18December2021","230.0m","","","56,043t","","32,430t","Wärtsilä 6L26,each2,040kW","2xWärtsilä 6L46F,maximumcontinuousrating(MCR)each7,200kW2xWärtsilä 8L46F,maximumcontinuousrating(MCR)each9,600kW","4"
"SS 2022","AvenirAspiration","NantongCIMCSinopaciﬁc","Kongsberg","AvenirLNGLimited","China","08October2021","115.8m","12.5kts","","8,366","","","Heatmaster","FAR- 3310","2sets"
"SS 2022","BoreWay","WuhuShipyardCo.,Ltd","Wärtsilä","BoreWayOYAB","Netherlands /China","January2022","121.89m","13.5kn","","9,133","","1,1161t","Wärtsilä packaged","8L34DF","1"
"SS 2022","CemtexExcellence","OshimaShipbuildingCo.,Ltd","MitsuiE & SMachineryCo.,Ltd","U- MingMarineTransport","Japan","14March2022","235.00m","14.30kts","","54,244","","","Nakashima","MitsuiMANB & W6G60ME- C10.5","1"
"SS 2022","ChangZan","DamenYichangShipyard","MAN","ShanghaiChangjiang","China","March2022","122.20m","12.0","","7,730","","","HailuShazhou","5S35ME- B9.7TierII","1"
"SS 2022","CMACGMDignity","HyundaiHeavyIndustries","Electronicallycontrolledtwo-stroke,directreversible,crossheadtypedieselengine","CMACGM","RepublicofKorea","10February2022","365.99m","21.65kts(NCRwith15 % S.M.)","","150,783","","","HHI- EMD","MANB & W11G90ME- C10.5-","1"
"SS 2022","CoralNordic","JiangnanShipyard(Group)","Wärtsilä","AnthonyVeder","China","12October2022","176.80m","15.80kts","","26,234gt","","","Renk","8L50DF","1"
"SS 2022","DongYi601","PenglaiZhongbaiJinglu","MAN","FujianDongYiShipping","China","29April2022","225.0m","13","","45,287","","87,524","SMARD","6S50ME- C9.7TierII","1"
"SS 2022","EagleCampos","HyundaiHeavyIndustries","MANB & W","AET","RepublicofKorea","22December2021","278.0m","14.50kts","","84,560","","","Wärtsilä","Hyundai- MANB & W6G70ME-","1"
"SS 2022","EagleValence","SamsungHeavyIndustries","WinGD","AET","RepublicofKorea","28February2022","330m","14.8knotsincluding15 % powermargin(75.7 % ofDMCR)","","158,240","","343,400MTatscantlingdraught","Samsung /Sillametal","7X82DF","1"
"SS 2022","FinnecoI","ChinaMerchantsJinling","Hyundai- MAN2x12,780kW","FinnlinesPlc","Denmark","28April2022","238.0","19.0","","60,515","","","Kongsberg","Hyundai- MANB & W9S50ME- C9.6","2"
"SS 2022","FridaKnutsen","DaewooShipbuilding &","WinterthurGas & DieselLtd","KNOT(KnutsenNYK","RepublicofKorea","August2022","277.548m","12.9kts","","85,504MT","","154,500MT","DSME /Wärtsilä","WinGD6X52DF","2"
"SS 2022","Greenway","GuangzhouShipyard","CMD","EasternPaciﬁcShipping","China","28June2022","274.0m","14.2ktswith15 % seamargin","","","","184,318t","702/dpcc","CMD- MANB & W6G70ME- C10.5- GI","1"
"SS 2022","BajamarExpress","Austal","WinterthurGas & Diesel","FredOlsenExpress","Australia","December2021","159.70m","15.50kts","","18,664","","","Wärtsilä","5RT-flex50DF","1"
"SS 2022","HLSBlueSapphire","HyundaiSamhoHeavy","MANEnergySolutions","HyundaiLNGShipping","Korea","04January2023","229.96m","16.5ktsatdesigndraughtandatNCR(90 % ofMCR)with15 % seamargin","","48,805","","73,872t","HMRI /HHI- EMD","Hyundai- MANB & W6G60ME- C10.5- LGIP- HPSCR","1set"
"SS 2022","JuliusCaesar","HyundaiHeavyIndustries","MANB & W","TOPShips","RepublicofKorea","14January2022","329.99m","14.8kts","","154,449","","","HyundaiHeavy","Hyundai- MANB & W7G80ME- C9.5- HPSCR","1"
"SS 2022","K.Lotus","HyundaiMipoDockyard","KongsbergMaritime","K- Line","Korea","16March2022","abt.166m","12.0kts","","18,750","","","","",""
"SS 2022","Kaupang","HyundaiMipoDockyard","Hyundai- MANB & Wdieselengine","EPS","Korea","16March2022","abt.180m","15.95kts","","26,614MT","","","HyundaiHeavyIndustriesCo.,Ltd","6G50ME- C9.6- LGIP- HPSCR","1EA"
"SS 2022","KurotakisanMaruIII","OshimaShipbuildingCo.,Ltd","JapanEngineCorporation","CaribstarShippingS.A","Japan","2December2021","234.96m","","","51,793","","","NakashimaPropeller","6UEC60LSE- Eco- A2- EGR","1"
"SS 2022","LadyMarieChristine","WuhuShipyardCo.,Ltd","Wärtsilä","WijnneBarends","Netherlands /China","January2022","115.20m","14.0kts","","4,966","","8,440.5t","Wärtsilä packaged","6L34DF","1"
"SS 2022","LupinusPlanet","KawasakiHeavyIndustries,Ltd.SakaideShipyard","Dual-fuelLPGmarinedieselengine","AkiakariShipholdingS.A","Japan","22September2022","229.90m","abt17.0ktsat85 % MCRoutputwith15 % S.M","","49,943t","","","NakashimaPropeller","Kawasaki- MANB & W7S60ME- C10.5LGIP","1"
"SS 2022","MelodyHope","HyundaiHeavyIndustry","Hyundai- MANB & W","Majesty","RepublicofKorea","30June2022","328m","14.8kts","","152,509","","","HHIEngine &","7G80ME- C10.5","1"
"SS 2022","NilsHolgersson","ChinaMerchantsJinLing","MAN","TT- Line","Denmark /China","7March2022","abt.229.4","17.6kts(10,875kW /MCR: 29,400kW)","","abt.4,864m","","31,453.6","Renk","6L51/60DF & 8L51/60DF","6L51/60DF * 2 & 8L51/60DF * 2"
"SS 2022","NorwegianPrima","Fincantieri","ABB","NorwegianCruiseLine","Italy","29July2022","293.4m","20.5kts","","143,535grt","","69,000t","ABB","3x9 + 2x12W46Fwithselectivecatalyticreduction","5"
"SS 2022","Nukumi","ChengxiShipyardCo.Ltd","MaKDieselelectric","CSL & WindsorSalt","Finland /China","10January2022","225.5m","14kts","","22,715GT","","","ElectricmotortwinscrewCAT“twin- Fin”design; 2x3,000kWpropulsionmotors","3x8M25E; 1x6M20C","4"
"SS 2022","PointedeCaux","RMKMarine","SchottelSRE270","SogestranGroup","Turkey","31August2022","110.0m","10.00kts","","3,138","","","AalborgH4- TFO- 010","MAND2862LE328","3"
"SS 2022","SantanderKnutsen","HyundaiSamhoHeavy","WinGD","KnutsenOASShipping","RepublicofKorea","16June2022","298.97m","18.0ktsatdesigndraftandatNCRwith20 % seamargin","","114,180","","127,645t","HyundaiHeavy","Hyundai- WinGD5X72DF","2"
"SS 2022","ShofuMaru","OshimaShipbuildingCo.,Ltd","MitsuiE & SMachineryCo.,Ltd","MitsuiO.S.K.Lines,Ltd","Japan","7October2022","235.00m","","","58,209","","","Nakashima","MitsuiMANB & W6S60ME- C10.5-","1"
"SS 2022","StenaConvoy","HyundaiMipoDockyard","MAN","Mitsui & Co.,Ltd","Korea","17March2022","abt.183m","14.5kts","","29,950","","","HMD/HHI- EMD","Hyundai- MANB & W6G50ME- C9.6- HPSCR","1set /ship"
"SS 2022","StenaProPatria","GuangzhouShipyard","MAN","PromanStena","Sweden","17June2022","186.0m","14.5ktswith15 % seamargin","","","","61,408.4t","702/dpcc","MAN6G50ME- C9.6- LGIM- W","1"
"SS 2022","STLYangtze","HyundaiHeavyIndustries","MANB & W","EasternPaciﬁcShipping","RepublicofKorea","29April2022","229.97m","17kts","","60,776","","","HyundaiHeavy","6G60ME- C9.5-- GIE- HPSCR","1"
"SS 2022","BajamarExpress","Austal","MitsuiE & SmachineryCo.,Ltd","FredOlsenExpress","Australia","15December2022","199.99m","14.1ktswith15 % seamargin","","36,298","","","Nakashima","MANB & W6S50ME - C9.7","1set"
