FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SSS 2008","America","JM Martinac","Robert Allan Ltd","Signet Maritime","United States of America","March 2008","29,9m (excl, fenders)","13,5kts","","294464","1","742tonnes","MTU","16V-4000"
"SSS 2008","Apex","Astilleros Gondan SA, Spain","Niigata","Solent Towage Ltd/ Østensjø Rederi AS","United Kingdom","17 April 2008","37m","15kts","","643","3","","Rolls-Royce","33 L8P"
"SSS 2008","Ark Tori","PT Batamec Shipyard, Indonesia – a subsidiary of","Conan Wu & Associates, Singapore","All-RK Offshore","Republic of Singapore","10 September 2008","67m","13kts design, actual 14,7kts","","2000","4","4535t","Wärtsilä","8L32"
"SSS 2008","Atlantida Azul","Safehaven Marine","Wärtsilä","Port of Sines, Portugal","Portugal","December 2008/ January 2009","16m","25,3kts at 2100rpm","","","1","","Scania","D16 V8"
"SSS 2008","Caspian Breeze","Damen Shipyards Gorinchem","Damen Shipyards Gorinchem","Nico Middle East Ltd","United Arab Emirates","July 2008","35,95m","26kts at 100% MCR","","168","1","170t","Caterpillar","C32 WSOR"
"SSS 2008","Don Osiris","Damen Shipyards Gorinchem","Damen Shipyards Gorinchem","Naviera Integral SA de CV","Mexico","January 2009","50,3m","25kts","","427","2","630t","Caterpillar","3512B TA WOSR"
"SSS 2008","Dong Hai Lu Dao","Wang Tak Engineering & Shipbuilding Co Ltd/Guangdong","Wang Tak Engineering & Shipbuilding Co Ltd & CMCS, AU","Shanghai Yatong","People’s Republic of China","December 2008","41,3m","","","567","-","145t","MTU","12V4000M70"
"SSS 2008","Esnaad 710","Astilleros Balenciaga SA","ZF","Esnaad/Abu Dhabi","United Arab Emirates","31 May 2008","47,4m","","","978","0","","Caterpillar","3516B rating"
"SSS 2008","Greatship Anjali","Colombo Dockyards","Finnoy – two-in-one-out type","Greatship (India) Limited","India","January 2008","63,4m","","","1596","1","","MaK","8M25"
"SSS 2008","Handy One","Great Lakes Shipyard","Jensen Maritime Consultants","Tugz International LLC","United States of America","11 April 2008","22,6m (74ft)","12kts free running","","100","1","","Cummins","QSK 38 diesel"
"SSS 2008","FPV Hirta","Gdansk Shiprepair Yard “Remontowa” S,A,, Poland","Remigiusz Ruszkowski","Scottish Ministers/Scottish","United Kingdom","12 May 2008","84m","18kt","","2182","1","2349,092t","Wärtsilä","9L20"
"SSS 2008","Iliria","Damen Shipyards","Wärtsilä","Ministry of Defence, Albania","Albania","August 2008","42,80m","26kts","","240","-","250","Caterpillar","3516 TA-HD"
"SSS 2008","Island Constructor","Aker Yards Langsten (now part of STX Europe)","Ulstein Design AS","Island Offshore","Norway","March 2008","116m","","","12100","-","","Rolls-Royce","40"
"SSS 2008","LOS 116 Fedje","Dockstavarvet AB","Rolls-Royce","Norwegian Coastal","Norway","May 2008","16,80m","30kts","","499","-","30t","MTU","8V 2000 M72"
"SSS 2008","Maria de Maeztu","Union Naval Valencia, SA","SENER","Maritime Safety Authority (SASEMAR)","Spain","28 March 2008","39,7m","13kts at 100% MCR","","907","","1345t","ABC (Anglo Belgian Corporation)","8DZC-1000-175"
"SSS 2008","Messico","Astilleros Armon","Robert Allan Ltd","Rimorchiatori Riuniti","Italy","January 2008","36,65m","13,96kt","","698","1","1265tonnes","MAK","8M25"
"SSS 2008","M/Y Sea Force One","N/A","Luca Dini Design","Undisclosed","Italy","17 July 2008","53,8m (176,5ft)","17kts","","","0","722tonnes","Caterpillar","CAT3516B"
"SSS 2008","PB Fitzroy","Cheoy Lee Shipyards","Robert Allan Ltd","unknown","Australia","September 2008","28,2m (excluding fenders)","13kts","","416","2","619tonnes","Niigata","6L28 HX"
"SSS 2008","Police 5~10 (Medium Patrol Launches)","N/A","Lung Teh Shipbuilding Co,Ltd","Hong Kong Marine","Hong Kong Special","November 2007, April 2008","19m","","","","6","39t","Caterpillar","C 32 B rating"
"SSS 2008","Shinas","Austal","ZF","The Government of the","Oman","June 2008","64,8m","55,9kt","","2053","0","","MTU","20V 1163"
"SSS 2008","Solway Spirit","South Boats Special","Reintjes","E,ON Climate &","United Kingdom","May 2008","15,43m","","","","9","23,5tonnes","",""
"SSS 2008","Svitzer Waterston","Freire","Robert Allan Ltd","Svitzer-Wijsmuller AS","United Kingdom","August 2008","34m","13,7kts","","686","2","1162tonnes","General Electric","7FDM16"
"SSS 2008","Taha Dua/Taha Satu","Damen Shipyards Gorinchem (build by DSSi)","Schottel","Powertium Engineering","Malaysia","15 August 2008","33,45m","26,5kts","","168","23","153,5kg (full load)","Caterpillar","C32 WOSR B-rating"
"SSS 2008","Vivax","Sanmar Denizcilik","Robert Allan Ltd","Østensjø Rederi AS/AS","Norway","November 2008","33,10m","14kts","","","0","","Wärtsilä","8L26"
"SSS 2008","Wave Ranger","Alnmaritec Ltd","Camarc/Alnmaritec Ltd","Alnmaritec Ltd","United Kingdom","30 July 2008","8,3m","","","","0","2,5tonnes","Yanmar","6LP2-STP"
