FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed,ImoNumber,Gross,SisterShip,Displacement,MainEngineDesigner,MainEngineModel
"SS 2020","HMM Oslo","Samsung Heavy Industries","DSME / Nakashima","HMM","Republic of Korea","24 April 2020","Approx. 399.9m","","9868326","Approx. 232,300gt","","MAN ES","11G95ME-C10.5"
"SS 2020","Jawa Satu","Samsung Heavy Industries","SHI / MMG","PT Jawa Satu Regas","South Korea","May 2020","292.5m","","9854935","107,000gt","","RENK",""
"SS 2020","","Hyundai Mipo Dockyard Co., Ltd. Vessel’s name: .............................. KMTC Seoul","Samsung/Silla","Korea Marine Transport","Republic of Korea","January 2021","Approx. 196m","","9882205","27,99gt","","Hyundai-MAN B&W","7S60ME-C10.5 (Tier II)"
"SS 2020","La Seine","Hyundai Heavy Industries","Hyundai Heavy","TMS Cardiff Gas Ltd. Country: .................................................. Greece","","27 August 2020","299.06m","","9845764","115,139gt","","Hyundai-WinGD","5X72DF"
"SS 2020","La Seine","Hyundai Heavy Industries","HHI","TMS Cardiff Gas Ltd. Country: .................................................. Greece","","28 February 2020","299.06m","","9845764","115,139gt","","Hyundai-WinGD","5X72DF"
"SS 2020","","Keppel Nantong Shipyard Co. Ltd. Vessel’s name: ............................. Marine Vicky","HHI","V-Bunkers Tankers Pte. Ltd. Country: .............................................Singapore","","28 February 2020","102.84m","","9880520","5,310gt","","Dual-fuel","6EY26DF"
"SS 2020","Mustai Karim","OJSC Shipyard Krasnoye","Wuhan Heavy","Vodohod Russian River","Ukraine","13 January 2020","141.15m","","9879351","8,966gt","","Diesel","6L20"
"SS 2020","National Geographic","Ulstein","Schottel","LEX Endurance LLC/ Lindblad Expeditions","Hamburg, Germany","3 August 2020","124.4m","","9842554","12,786gt","","ABB Azipod DO 3.5MW",""
"SS 2020","","Hyundai Mipo Dockyard Co., Ltd. Vessel’s name: ..........................Queen Jenuvia","Hyundai Mipo Dockyard Co., Ltd. Country: ................................Republic of Korea","Seaworld Express Ferry","Republic of Korea","16 March 2020","Approx. 170.0m","","9867475","27,391gt","","HHI Engine & Machinery Division (medium speed four-stroke)","HiMSEN 8H46/60P (Tier II)"
"SS 2020","Sakizaya Star","Japan Marine United Corporation","Kongsberg","Mount Wisdom S.A. Country: .................................................. Taiwan","Japan","7 September 2020","Max. 229.0m","","9861316","44,314gt","","MAN Energy Solutions SE","6S60ME-C8.5-EGRBP"
"SS 2020","Sara","Hyundai-Vietnam Shipbuilding","Japan Marine United","Bahri Dry Bulk Company","Saudi Arabia","27 March 2020","Approx. 229m","","9837119","43,735gt","","Hyundai - MAN B&W","6S60ME-C.10.5-HPSCR"
"SS 2020","Scarlet Lady","Fincantieri","Hyundai Heavy","VC Ship One Limited","Bermuda","29 April 2020","277.20m","","9804801","Approx. 110,000gt","","","8L46F, 12V46F"
"SS 2020","SCF La Perouse","Hyundai Samho Heavy","ABB","SCF","Republic of Korea","14 February 2020","297.09m","","9849887","116,779gt","","Two stroke, crosshead, turbocharged, reversible, diesel","5X72DF"
"SS 2020","Settsu","Mitsubishi Shipbuilding","Hyundai Heavy","Hankyu Ferry Co., Ltd. Country: ....................................................Japan","","10 February 2020","195.00m","","9860831","36,206gt","","Wärtsilä","14V31"
"SS 2020","Sider Buffalo","Zhejiang Xinle Shipbuilding","Daihatsu","Westport Shipping Limited/ Technical Core Management SRL","Malta/Italy","27 February 2020","109.9m","","9861512","4,764gt","","","8DK-28e"
"SS 2020","Siem Confucius","XSI Xiamen Shipbuilding","Schottel","LS-LBR Co, Ltd. Country: ...................................................Liberia","China","30 March 2020","199.90m","","9841017","72,900gt","","","7S60ME-C10.5GI Tier III"
"SS 2020","Silver Origin","De Hoop","Vendor’s Logo / Dalian Marine Propeller","Silversea Cruises","The Netherlands","12 March 2020","110.01m","","9837937","6,365gt","","","C32"
"SS 2020","","The Hakodate Dock Co., Ltd. Vessel’s name: ....................................... Singan","The Hakodate Dock Co., Ltd. Country: ....................................................Japan","Swire Bulk","Singapore","June 2020","179.97m","","9873735","21,526gt","","Makita-Mitsui","6S46ME"
"SS 2020","","Hyundai Mipo Dockyard Co., Ltd. Vessel’s name: ............................. Solar Sharna","Nakashima","Tristar Transport LLC","UAE","28 April 2020","Approx. 169m","","9877614","17,915gt","","Hyundai-MAN B&W","6S46ME-B8.5-HPSCR"
"SS 2020","Tove Knutsen","Hyundai Heavy Industries","Hyundai Heavy","Knutsen NYK Offshore","Republic of Korea","15 June 2020","278.95m","","9868376","84,666gt","","","B&W 6G70ME-C10.5"
"SS 2020","YM Celebrity","CSBC Corporation, Taiwan","Wärtsilä","Yang Ming Marine","Taiwan","28 September 2020","209.75m","","9864502","32,720gt","","MAN B&W","7S70ME-C10.5"
"SS 2020","Yuan Da Fan Rong","CSSC, Wuchang Shipbuilding","CSBC/ Nakashima","Qingdao Grand Ocean","China","27 May 2020","118.00m","","","8,057gt","","Guangzhou Diesel Engine","6G32, Tier II"
"SS 2020","Zhong Hua Fu Qiang","Shandong Huanghai","SDARI","Weihai Haida Passenger","China","July 2020","186.02m","","9899404","37,883gt","","MAN","16V32/40"
