VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed
"Ampere","Fjellstrand / Aluship","Fjellstrand","Norled","Norway","January 2015","80.8m","Approx 14knots"
"AS14","Aurora Ltd","4.5tonnes","Emergency Medical","Russian Federation","September 2014","15.3m","45knots @ full load"
"Atco Noura","Tor Marine","2.40m","ATCO","Kingdom of Saudi Arabia","October 2014","45m","32knots"
"Baltika","Shipyard Yantar JSC (blocks) / Arctech Helsinki Shipyard (hull assembly, outfitting, painting and commissioning)","1,200tonnes","Russian Federal","Russian Federation","December 2014","76.4m","14knots"
"Bhagwan Dryden","Keppel Singmarine","300tonnes","Bhagwan Marine","Australia","June 2014","56.8m","13knots@100% MCR (with 200tonnes dwt)"
"Bugsier 7","Fassmer","200tonnes","Bugsier-Reederei- und","Germany","June 2014","31.5m","13knots"
"Burrard Otter II","Damen Shipyards (Singapore)","39tonnes","Coast Mountain","Canada","October 2014","34.29m","13.5knots"
"Chowgule 7","Shipbuilding Division, Chowgule and Company Private Limited","1,670tonnes","Chowgule and Company","India","September 2014","67.2m",""
"CWind Sword","CTruk","20tonnes","CWind and Ventus Workboats","UK","December 2014","22m",""
"Eddy1","Holland Shipyards","4.75m","URAG","Germany","June 2014","30.3m","13.4knots"
"Elida","Hyundai Mipo Dockyard","3,850tonnes","BP Shipping","UK","January 2014","97.08m","300rpm"
"HB Hydra","Uzmar Shipbuilding","570tonnes (wet season)","Hidrovias do Brasil","Paraguay","Q2 2014","45.6m","13knots (free-running)"
"Horizon 9","Penguin Shipyard International","29tonnes","Horizon Ferries","Singapore","September 2014","38.5m","29knots"
"Investigator","Teekay Holdings Australia / Sembawang Shipyard Pte","RALion (Robert Allan Ltd and Alion","Commonwealth Scientific and","Australia","July 2014","93.9m",""
"Jeddah 53","Tor Marine","576tonnes","Saudi Port Authority","Kingdom of Saudi Arabia","January 2014","46m","15knots, 90% MCR SS2"
"Karina","Shipyard De Hoop","210tonnes","In negotiations","","July 2014","55.17m",""
"Metal Shark 45'","Metal Shark Boats","11tonnes","Canaveral Pilots Association","US","December 2014","14.63m","25knots"
"Mikotahi","Q-West Boat Builders","1m","Port Taranaki Ltd","New Zealand","May 2014","19.5m","30knots"
"Munin S1200","Norsafe","Norsafe","N/A (prototype)","N/A","N/A (prototype; launched September 2014)","12m",""
"Muslim Magomayev","Incat Tasmania","113tonnes","Caspian Marine Services","Azerbaijan","September 2014","70m","36knots"
"NH 1816","Damen Shipyard (Gorinchem)","1.1m","Royal Netherlands","The Netherlands","February 2014","19.3m","31knots"
"Pacific Leader","Japan Marine United","4,500tonnes @6.4m 5,000tonnes @6.8m","Swire Pacific","Singapore","April 2014","97.29m","15knots"
"Seacat Intrepid","South Boats Isle of Wight Ltd","30tonnes","Seacat Services Ltd","UK","October 2014","26.77m","27knots"
"SMV 1","Mustang Marine","37.69tonnes max","James Fisher Marine Services","UK","March 2014","25.5m",""
"Spirit of the Sound","Robert E Derecktor Inc","18tonnes","The Maritime Aquarium","US","September 2014","19.2m","12knots@100% MCR"
"Susie S","Damen","1.7m","Windwave Workboats","UK","June 2014","19.7m","26knots"
"Thaiyak","Strategic Marine","235tonnes","Australian Customs & Border Protection","Australia","June 2014","40m","13knots"
"The Next Episode","Wim Van der Valk","1.65m","Confidential","Confidential","May 2014","27.2m","25knots"
"Thea","Alnmaritec Ltd","1tonne","Fugro","UK/UAE","April 2014","8.56m","15knots"
"Zeeaster","Baltic Workboats","Baltic Workboats","DAB Vloot","Belgium","August 2014","14.7m","22knots"
