VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed
"Remoy Viking","","","Jack Remoy, Norway","","","61.00m",""
"Vilhelm Thorsteinsson","Kleven Verft, Norway","Vik Sandvik, Norway","Samherji ht, Iceland","","September 2000","79.00m",""
"Ardent","Chantiera Pirioux, France","","Michael and John Orpen","","","24.90m",""
"Atlantic Challenge","AS Eidsvik, Norway","Vik Sandvik, Norway","Martin Howley partners. Ireland","","","60.00m",""
"Arctic Endur ance","Scwiknes Verft, Norway","Skipsteknisk, Norway","Clearwater","","","69.9m",""
"Alert","Dakota Creek Industries, WA, USA","4.88m","Alyeska Pipeline Service","","","42.67m",""
"Ajax","Astilleros Zamakona. Spain","Robert Allan Ltd. Canada","","","","41.60m",""
"Enselini","SAFBuild, South Africa","5.20m","Portnet, South Africa","","","30.80m",""
"Bunbury","Oceanfast, Australia and Labroy","Barnes & Fleck, Australia","Adsteam Marine, Australia","","","31.88m",""
"Abetlle Fecamp","Alstom Leroux Naval, St Malo, France","5.25m","Les Abeiiles, France","","","36.80m",""
"Fairplay 25","Astilleros Zamakona, Bilbao, Spain","Cinlranaval, Spain","Fairplay/Richard","","","34.85m",""
"","Irving Shipbuilding, Inc. Canada","Robert Allan Ltd, Vancouver, Canada","Newfoundland Marine","","","30.80m","12.5 knots"
"","","Vik Sandvik. Norway","Stirling Ship Management","","April 2000","73.895m","16 knots"
"Jaya Commander","Yantai Raffles, China","Conan Wu & Associates, Singapore","Jaya Holdings, Singapore","","","64.00m","14 knots"
"Highland Scout","Bender Shipbuilding, USA","4.91m","Gulf Offshore Marine","","January 2000","66.20m",""
"San Rafael","Eastern Shipbuilding, USA","Design Associates, USA","Naviera Tamaulis SA","","","62.18m",""
"Team Salaiah","Adyard, Abu Dhabi","5.52m","Nico International","","","61.00m",""
"H-181/Griffon 8000 TD (M)","Griffon Hovercraft Ltd, UK","Griffon Hovercraft Ltd","Indian Coast Guard","","July 2000","19.85m","55 knots"
"Vigilant","Image Marine, Australia","Image Marine","New South","","","16.00m","28.5 knots"
"Chinook","","1.1m","Columbia","","","22.2m","29 knots"
"San Francisco","MARCO Shipyard Se","2.7m","","","","31.7m",""
"Speedy","WaveMaster International","WaveMaster International","Reederie Warnings","","April 2000","49.95m","30 knols"
"Flying Cloud","Derektor Shipyards, Mamaroneck, NY","1.90m","Woods Hole. Martha's","","","41.00m",""
"The Lynx","Incat Tasmania","3.42m","Tranz Rail","","","97.22m","46.5 knots"
"Highspeed 2","Austal Ships, Australia","190 tons (max)","Minoan Flying Dolphins, Greece","","May 2000","72.0m",""
