FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SSS 2010","ASB Mutiara 5","Strategic Marine","Southerly Designs / Strategic Marine","ASB Maritime Resources / Petronas Carigali","Malaysia","December 2010","40.37m","28knots","","","","","Cummins","KTA38 M2 / KTA50 M2"
"SSS 2010","BRAtt","Adrenalin Marine Ltd","Robert Allan Ltd","N/A","Canada","N/A","8.53m","8.0knots","","11gt (U.S.)","0","16.46tonnes","Cummins","QSB5.9-230 HD"
"SSS 2010","CarboClyde","Kockums AB Sweden / Karlskrona","Kockums AB / Fintry Marine","Fintry Marine Ltd","UK","September 2010","23.6m","31kts (100% MCR)","","107.35gt","","25knots","MTU","8V2000 M72 including"
"SSS 2010","Dana Cruz","Fred Wahl Marine","Ag Mcilwain","King River LLC/ Foss Maritime","USA","June 2010","28.04m","","","98gt","0","","Caterpillar","C18B Tier II"
"SSS 2010","FireStorm 70","MetalCraft Marine","MetalCraft Marine","Jacksonville Fire Rescue","USA","September 2010","21.1m","41knots (fully loaded)","","","","","Caterpillar","CAT C18"
"SSS 2010","Greatship Maya","","Marin Teknikk AS","Greatship Global Offshore","Australia","January 2010","93.6m","14.5knots","","4765gt","","","Yanmar","8N280L-EV"
"SSS 2010","Hai Jun","Wang Tak Engineering &","Wang Tak Engineering &","Zhuhai Haitong Shipping","Zhuhai, PRC","December 2009","33.0m","27.6knots (fully loaded)","","322gt","1","116tonnes","Caterpillar","C-32"
"SSS 2010","Iceni Spirit","South Boats Special","South Boats Special","Iceni Marine Services Ltd","UK","March 2010","15.6m","25knots","","26gt","","25tonnes","Scania","DI12 69M"
"SSS 2010","M.V. Independence","Derecktor Shipyards","Robert Allan Ltd","Reinauer Transportation","USA","January 2010","39.1m","13.5knots","","< 300gt (LC)","0","1144tonnes","MTU","16V4000"
"SSS 2010","Laboe","Dockstavarvet / JB Seaform","Dockstavarvet","Wasser- und","Germany","November 2010","16.8m","22knots","","49.9gt","","33.3tonnes (full load)","Volvo Penta D 16",""
"SSS 2010","Loke Viking","Zamakona Yards Bilbao","Vik & Sandvik","Transviking","Sweden","May 2010","85.20m","","","5.109tonnes","0","7.900tonnes @ 6.4m draft","MAK","2 x 6M32 + 2 x 8M32"
"SSS 2010","Natalia Bekker","Abeking & Rasmussen","Abeking & Rasmussen","BARD Engineering","Germany","April 2010","26.40m","18knots","","222gt","6","","MTU","10V 2000 M72"
