FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SSS 2010","Normand Ranger","Swede Ship Marine AB","Vik Sandvik (Wärtsilä Ship Design)","Redningsselskapet","Norway","September 2010","24.7m","29.0knots","","99.0gt","None","90.0tonnes","MTU","16V2000M72"
"SSS 2010","Oita","Shipco Marine","Robert Allan Ltd","Robe River Mining Pty. Ltd","Australia","March 2010","32m","13knots","","428gt","1","853tonnes (full load)","Niigata","6l28HX"
"SSS 2010","OSG Vision","VT Halter Marine","Ocean Tug & Barge","OSG Delaware","USA","March 2010","46.72m","13knots","","997gt","0","2800tonnes","Wärtsilä","9L32"
"SSS 2010","PB Karepo","Cheoy Lee Shipyards, Ltd","Wärtsilä Ship Design","PB Towage Ltd","Hong Kong","January 2010","49.95m","14knots","","962gt","2","1850tonnes","Yanmar","6EY26"
"SSS 2010","Polarcus Asima","Drydocks World","Ulstein SX134","Polarcus","","August 2010","92.0m","15knots","","7894tonnes","","","",""
"SSS 2010","Quinoa","Safehaven Marine","Frank Kowalski","Bordeaux Pilots","France","September 2010","14.7m","26knots","","25gt","1","19.5tonnes approx","IVECO","C13"
"SSS 2010","Saaremaa","Fiskerstrand BLRT AS","Multi-Maritime AS","Saaremaa","Norway","June 2010","97.9m","","9474072","5900gt","1","3362tonnes","Wärtsilä","2 x 6L20 Clean + 2 x 8L20 Clean"
"SSS 2010","Scarlet Ibis","Austal","Rolls-Royce Contaz 25 (2000 kW) Ice 1A","Trinidad and Tobago","Trinidad and Tobago","January 2010 2010 saw Austal complete and deliver six high speed, 30m patrol vessel sisterships for the Trinidad and Tobago Coast Guard, the first of these orders being Scarlet Ibis. Like her sisters, Scarlet Ibis has been classed by Det Norske Veritas, which has also provided classification for vessels built by Austal for the Armed","30.0m","","","","6 vessels in total (all completed)","","Kamewa 56A3 waterjets",""
"SSS 2010","Shi Hua Gang Yi Hao","Alnmaritec Ltd","Alnmaritec Ltd","Elastec","China","November 2009","15.05m","21knots","","","1","17tonnes","Volvo Penta","D9"
"SSS 2010","Smit Angola","Keppel Nantong","Robert Allan Ltd","SMIT Shipping","Angola (intended area of operation)","June 2010","49.5m","14.9knots","","1438gt","1 (Smit Siyanda)","2717tonnes","Wärtsilä","8L26"
"SSS 2010","Stefan Cel Mare","Damen Shipyards Group","2.9m(Summer)","General Inspectorate of the Border Police, Romania","Romania","September 2010","66.0m","20.6knots @ 2.9m draught","","","","925tonnes (Summer)","MTU","16V 400 M73"
"SSS 2010","Svitzer Pembroke","Astilleros Zamakona SA","Robert Allan Ltd","Svitzer Marine Ltd","Denmark","August 2010","35.80m","13.5knots","","734gt","0","1374tonnes","GE","16V228"
"SSS 2010","Three Forty Three","Eastern Shipbuilding Group","Robert Allan Ltd","","USA","May 2010","42.67m","18knots","","438gt (US Regulatory)","1 Firefighter II","497.5tonnes","MTU","12V4000M70"
"SSS 2010","Uthlande","Shipyard J.J","Owner / Naval Consulting Franz","Wyker Dampfschiffs","Germany","May 2010","75.88m","12.0knots","","3179gt","0","1676tonnes","Caterpillar","CAT 3508C DI-SCAC"
"SSS 2010","YT-802 Valiant","J.M. Martinac","Robert Allan Ltd","US Navy/ Bremerton Pilots","USA","December 2009","27.42m","12.3knots","","342gt","3","527tonnes","Caterpillar","3512C HD, A-Rated"
"SSS 2010","Volstad Surveyor","Freire Shipyard","Skipsteknisk","Volstad Shipping / Rieber Shipping","Norway","May 2010","85.30m","16knots @5.5m draught","","4398gt","","5738tonnes","ABB","AMA 500L6L BAFMH"
"SSS 2010","Vortex","Astilleros Gondan SA, Spain","Robert Allan Ltd","Solent Towage Ltd, Southampton","United Kingdom","June 2010","38.7 m (fenders including)","14.5knots","","800gt","-","1638tonnes","Wärtsilä","8L26B2"
