VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed
"Armand-Imbeau II","Chantier Davie Canada Inc","1,006tonnes","Société des Traversiers du Québec","Canada","June 2018","92m",""
"Bürgenstock","Shiptec AG","28tonnes","Schiffahrtsgesellschaft des Vierwaldstättersees","Switzerland","April 2018","38m","19knots"
"Cap de Fer","Cantiere Navale Vittoria","213tonnes","Enterprise portuaire de Skikda","Algeria","March 2018","26m","12.5knots"
"Clean Jacksonville","“We were able to integrate the GTT cargo handling systems into a bunker mast that luffs up to 60degs and slews 320degs, while using a cryogenic swivel in the pedestal to allow the mast to manoeuvre while maintaining integrity of the cryogenic liquid.”","2.92m","Tote Maritime Puerto Rico / Foss Maritime","US","August 2018","70.72m",""
"Clementine (A2V-25-CB)","Advanced Aerodynamic Vessels","4.3tonnes","Peschaud International","Gabon","January 2018","15.64m",""
"Dame Vera Lynn / Ben Woollacott","Remontowa Shipbuilding SA","663tonnes","Transport for London / Briggs Marine Contractors","UK","November 2018","62.6m","9.5knots"
"EcoCat","Metaltec Naval","12.05tonnes","Commercial Marine","Spain","October 2018","18.25m","9.5knots"
"Edda Mistral","Gondán Shipbuilders","1,900tonnes","Østensjø Rederi A/S","Norway","August 2018","82m","13.5knots"
"Enhydra","All American Marine","60tonnes","Red and White Fleet","US","August 2018","39.3m","13.6knots"
"Fregate","Damen Shipyards","5.10m","Dutch Dredging De Boer / Iskes Towage & Salvage","French Guiana","May 2018","29.2m","12.2knots"
"Global Provider","Jesse Engineering","2.74m","Maxum Petroleum","US","March 2018","39.62m","11.5knots"
"Halunder Jet","Austal Philippines","90tonnes","Larouzio Shipping","Germany","April 2018","56.4m","36knots"
"HMS Magpie","Safehaven Marine","1m","Royal Navy","UK","May 2018","19m","25knots"
"Jiang Men","Wang Tak Engineering &","1.2m","Jiang Men Hong Kong","China","July 2018","40m",""
"Mary Anning","Blyth Catamarans","1.3m","Swansea University","UK","December 2018","18.5m","28.4knots"
"Med XXIV","Med Marine (Eregli Shipyard)","3.15m","Med Marine","Turkey","June 2018","23m",""
"Munin S1200 Open","Norsafe","2.5tonnes","Norsafe","Norway","N/A","12.03m",">65knots (depending on propulsion system)"
"OPH/969/D","Ophardt Maritim","0.55m","German Government Agency","Germany","March 2018 (first vessel)","9.69m","60knots"
"Pacifico Voyager","Composite Shipbuilding","11tonnes","Private client","Russia","September 2018","19.9m","18knots"
"Raju","Baltic Workboats","55tonnes","Estonian Police and","Estonia","August 2018 2018 saw battery power adopted by a wide range of vessel types, from fishing boats and fast ferries to offshore support vessels. Joining this user base was the Estonian Police and Border Guard","44.6m","27knots 12knots (pure electric mode)"
"Red Jet 7","Wight Shipyard Co","31.6tonnes","Red Funnel","UK","July 2018","40.73m",""
"RPA 8","Scheepswerf Gebr. Kooiman","59tonnes","Port of Rotterdam NV","Netherlands","January 2018","25m","18.9knots"
"R/V Virginia","Meridien Maritime","54.87tonnes","Virginia Institute of","US","September 2018","28.35m","11.1knots"
"Scotia","Macduff Ship Yard","1.2m","ABP","Scotland","January 2018","12.75m","12.2knots"
"Sea Puffin 1","Esbjerg Shipyard A/S","2tonnes","WindPartner AS","Norway","July 2018","15.9m",""
"Seastreak Commodore","Gulf Craft LLC","1.8m","Seastreak LLC","US","March 2018","45m","38knots"
"Sigrid Dunlap","Hansen Boat Company","551tonnes","Dunlap Towing Company","US","June 2018","37.03m","14.5knots"
"Spirit of the Wild","Richardson Devine Marine","1.6m (prop) 1.2m (hull)","Gordon River Cruises","Australia","June 2018","33.3m","25knots"
"Strait Sentinel","ASL Marine Ltd","75tonnes","Western Canada Marine","Canada","September 2018","25m",""
"Unithai Chumporn","Unithai Shipyard and Engineering Ltd","1,044tonnes","Unithai Offshore Ltd","Thailand","August 2018","49.98m","13knots"
"Victoria of Wight","Cemre Marine Industries","821tonnes (estimated)","Wightlink","UK","July 2018","89.7m","13knots"
