FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2007","Al Gattara","Hyundai Heavy Industries Co Ltd ( (HHI) ), , Korea","Hyundai Heavy Industries Co Ltd, , Korea Modeltestestablishmentused: ..SSPA, , Sweden","Overseas Shipholding Group ( (OSG) ), , USA","","6November2007","315.00m","19.50knots","","136,410gt","","","MANB&W","6S70ME-C","2"
"SS 2007","Al Ruwais","Daewoo Shipbuilding & & Marine Engineering Co Ltd ( (DSME) ), , Korea","DSME, , Korea Modeltestestablishmentused: ..SSPA, , Sweden","Pronav Schiffahrtskontor GmbH, , Germany","","31October2007","315.00m","20.50knots","","137,535gt","","","MANB&W","6S70ME-C","2"
"SS 2007","Alakai","Austal Ships Ltd, , Australia ( (constructed by Austal USA at its Mobile, , Alabama shipyard) )","Austal Ships Ltd, , Australia","Hawaii Superferry, , USA","","June2007","106.00m","","","8127gt","","","MTU","20V800 M70","4"
"SS 2007","Anne Sibum","Schichau Seebeck Shipyard GmbH, , Germany","Vuyk Engineering Groningen BV, , The Netherlands","Reederei Bernd Sibum GmbH & & Co KG, , Germany","","24August2007","approx151.72m","18.50knots","","10,371gt","","","MaK","9M43","1"
"SS 2007","Atrotos","Hyundai Mipo Dockyard Co Ltd, , ( (HMD) ) Korea","Hyundai Mipo Dockyard Co Ltd, , Korea","Barclay Shipping Ltd, , Greece","","8May2007","183.88m","14.50knots","","27,916gt","","57,473tonnes","MANB&W","7S50MC-CMk8","1"
"SS 2007","Bernhard Schulte","STX Shipbuilding Co Ltd ( (Busan yard) ), , Korea","STX Shipbuilding Co Ltd, , Korea","Bernhard Schulte ( (Cyprus) ) Ltd, , Cyprus","","10July2007","120.40m","16knots","","9110gt","","15,320tonnes","MANB&W","8S35MC","1"
"SS 2007","British Emerald","Hyundai Heavy Industries Co Ltd, , ( (HHI) ), , Korea","Hyundai Heavy Industries Co Ltd, , Korea Modeltestestablishmentused: ..SSPA, , Sweden","BP Shipping Ltd, , UK","","5July2007","280.00m","…20knots","","102,00gt","","","Wärtsilä","NDSH-400 (twininput/singleoutput)","2x12V50DF/2x9L50DF"
"SS 2007","Cala Pancaldo","Stocznia Szczecinska Nowa Sp z. .o. .o. ., , Poland","Stocznia Szczecinska Nowa Sp z. .o. .o. ., , Poland","Costa Container Lines SpA, , Italy","","26July2007","207.30m","","","33,00gt","","","MANB&W","7K80MC-C","1"
"SS 2007","Cap Palmerston","Hyundai Mipo Dockyard Co Ltd ( (HMD) ), , Korea","Hyundai Mipo Dockyard Co Ltd, , Korea","Reederei Claus- -Peter Ö Öffen, , Germany","","9August2007","186.36m","21.20knots","","22,914gt","","37,942tonnes","………………MANB&W","6L70MC-C","1"
"SS 2007","Cheikh El Mokrani","Universal Shipbuilding Corp ( (USC) ), , Tsu yard, , Japan","Universal Shipbuilding Corp, , Japan","China Steel Express, , Taiwan","","21June2007","220.00m","17.50knots","","52,855gt","","","NakashimaPropellerCoLtd","FAR-2827, FAR2837-S","1"
"SS 2007","Coastal Renaissance","Flensburger Schiffbau- - Gesellschaft mbH & & Co KG ( (FSG) ) Germany","FSG, , Germany","British Columbia Ferry Services Inc ( (BC Ferries) ), , Canada","","December2006","299.50m","","","104,352gt","","","KangRim","6S70MC-C","1"
"SS 2007","Cosco Asia","Hyundai Heavy Industries Co Ltd, , Korea","Hyundai Heavy Industries Co Ltd, , Korea","China Ocean Shipping Co Ltd, , People' 's Republic of China","","21September2007","160.00m","21.00knots","","21,77gt","","9953tonnes","VEM/DRKSX1138-12WS","MaK8M32C","4"
"SS 2007","Cosco New York","Hanjin Heavy Industries & & Construction Co Ltd, , Korea","Hanjin Heavy Industries & & Construction Co Ltd, , Korea","","","6August2007","349.00m","25.8knots","","114,300gt","","","Rolls-Royce","12K98ME","1"
"SS 2007","Cotentin","Aker Yards Oy ( (Helsinki yard) ), , Finland","AIA Architects, , France","Brittany Ferries, , France","","20September2007","294.05m","24.30knots","","54,778gt","","88,369tonnes","KangRim","9K90MC-C","…………………………1"
"SS 2007","Deo Volente","Conoship International BV, , The Netherlands ( (Hull from OAG, , Poland) )","Conoship International BV/ / Hartman Marine BV, , The Netherlands","Hartman Seatrade BV/ / Amasus Shipping BV, , The Netherlands","","Late2007","168.00m","23.00knots","","22,532gt","","","Flender","12VM43C","2"
"SS 2007","Dubai Star","SPP Shipbuilding Co Ltd, , Korea","SPP Shipbuilding Co Ltd, , Korea Modeltestestablishmentused: ...MOERI, , Korea","Emirates Trading Agency LLC, , United Arab Emirates","","1February2007","104.80m","18knots","","299gt","","","Wärtsilä","8L32","1"
"SS 2007","Eileen- -C","Construcciones Navales P Freire SA, , Spain","Construcciones Navales P Freire SA, , Spain","Carisbrooke Shipping Plc, , UK","","…………………22May2007","183.00m","14.90knots","","30,042gt","","60,640tonnes","KangRimCargotanks","7RTA48T-B","1"
"SS 2007","Faust","Daewoo Shipbuilding & & Marine Engineering Co Ltd ( (DSME) ), , Korea","DSME, , Korea Modeltestestablishmentused: ..SSPA, , Sweden","Wallenius Lines AB/ /Wallenius Marine AB, , Sweden","","6March2007","89.80m","","","2990gt","","","Reintjes","MaK6M25","1"
"SS 2007","Fram","Fincantieri SpA ( (Monfalcone Yard) ), , Italy","Fincantieri SpA, , Italy","Hurtigruten ASA, , Norway","","25May2007Weregrethathedescriptionandtechnicalparticularspresentedforthisvesselarenotascompleteasusual","227.80m","19.90knots","","71,580gt","","","","7S60MC-C","1"
"SS 2007","Graceful Leader","Stocznia Gdynia SA, , Poland","Stocznia Gdynia SA, , Poland","Graceful Maritime Ltd, , Isle of Man/ /Stamco Ship Management Ltd, , Greece","","22April2007","113.70m","16.40knots","","approx11,700gt","","approx6800tonnes","","",""
"SS 2007","Histria Giada","Santierul Naval Constanta SA ( (SNC) ), , Romania","Icepronav SA/ /Santierul Naval Constanta SA, , Romania Modeltestestablishmentused: ...Icepronav SA, , Romania","Lara Marine Co Ltd, , Malta/ /Histria Shipmanagement SRL, , Romania","","11September2007","199.98m","20.20knots","","57,692gt","","","Aalborg","7S60MC-C","1"
"SS 2007","Hö öegh Delhi","Uljanik Shipyard, , Croatia","Uljanik Shipyard, , Croatia","Viking Car Carriers I Ltd / /Hö öegh Autoliners, , Norway","","July2007","179.96m","15knotsCargocapacity (includingsloptanks), 100% ..48,776m³","","25,804gt","","50,118tonnes","Saacke","6S50MC-C","1"
"SS 2007","Iran Anzali","Volgograd Shipyard, , Russia","Marine Engineering Bureau, , Ukraine","Irinvestship Ltd/ /Khazar Shipping Co ( (Islamic Republic of Iran Shipping Lines) ), , Iran","","25January2007","199.90m","","","55,775gt","","32,400tonnes","SAMElectronics","9S50MC-C","1"
"SS 2007","Ital Mattina","Hyundai Mipo Dockyard Co Ltd ( (HMD) ), , Korea","Hyundai Mipo Dockyard Co Ltd, , Korea","E R Schiffahrt GmbH & & Co, , Germany","","15February2007","139.95m","10.50knots","","5676gt","","7249tonnescantling..........................................................9657tonnes","Reintjes/WAF863","6L20","2"
"SS 2007","Lamentin","Tersan Shipyard, , Turkey","Navtek, , Turkey","Petromarine SA, , France","","28June2007","264.21m","23.90knots","","42,020gt","","70,950tonnes","Aalborg","8K90MC-C","1"
