FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SS 2013","Sao Domingos Savio","3. Maj Brodogradiliste, Rijeka, Croatia","Kawasaki Heavy Industries","DBT Shipping I LLC/ Wisby Tankers AB","Croatia","10 May 2013","133.28m","","9492311","10,830gt","3","21,282tonnes","","Wärtsilä 6X35"
"SS 2013","Seasmile","Hyundai Samho Heavy industries","Berg","Thenamaris","Korea","1 March 2013","255.49m","","9632820","52,467gt","nil","81,976tonnes","","6G80ME-C9.2"
"SS 2013","Seven Viking","Ulstein","HHI-EMD","Eidesvik Seven","Norway","7 August 2013","106.50m","","9619373","11,266gt","nil","","","9M32/ 6M25C"
"SS 2013","Shoyoh","Japan Marine United Corporation","Steerprop","TDC/Dsiichi Chuo Marine","Japan","23 January 2013","239.90m","","9641376","60,876gt","nil","","Wärtsilä","6RT-flex58T-D"
"SS 2013","Sibur Voronezh","Hyundai Mipo Dockyard Co., Ltd","Japan Marine United/ Nakashima Propeller","OAO Novoship","Russia","25 July 2013","159.97m","","9655509","18,425gt","nil","","MAN Diesel & Turbo",""
"SS 2013","Silver Eight","Naikai Zozen Corporation","HHI-EMD","Japan Railway Construction, Transport and Technology Agency/ Tsuarukaikyo Ferry Co., Ltd/ Kawasaki Kinkai Kisen Kaisha","Japan","29 July 2013","142.59m","","9667265","17,231gt","nil","","MAN Diesel & Turbo","Hitachi-MAN B&W 7L42MC6.1"
"SS 2013","Stavangerfjord","Bergen Group Fosen","Nakashima Propeller","Fjord Line","Norway","25 June 2013","170.00m","","9586605","31,678gt","nil","15,712tonnes","","B35: 4 OV 12 PG"
"SS 2013","Svet","Bohai Shipbuilding","Rolls-Royce","Caldy Maritime Limited/SCF","Liberia/Russia","4 July 2013","331.76m","","9625956","167,578gt","3","36,943tonnes","Wärtsilä","7RT-flex84T-D"
"SS 2013","SVL Liberty","JSC, Kherson, Ukraine","Nakashima Propeller/ Dalian","SVL Marine Transit Service","Ukraine","18 November 2013","140.85m","","9645982","5,075gt","2","9,483tonnes","","6L20"
"SS 2013","Viking Grace","STX Finland, Turku","Schottel","Viking Line","Finland","22 March 2013","218.50m","","9606900","57,565gt","nil","","","8L50DF"
"SS 2013","Woodside Rogers","Daewoo Shipbuilding & Marine","Wärtsilä","Maran Gas","Korea","10 January 2013","294.20m","","9627485","103,670gt","nil","","Wärstilä","9L50DF"
"SS 2013","Wuchang","Chengxi Shipyard","DSME-Samwoo","China Navigation","Finland","1 July 2013","179.99m","","9657844","24,785gt","nil","49,219tonnes","Wärtsilä","5RT Flex 50-B"
"SS 2013","Zealand Amalia","Sefine Shipyard","Deltamarin/ Wärtsilä","Zealand Shipping","Turkey","18 October 2013","173.75m","","9674921","18,036gt","nil","33,005tonnes","MAN","G45 ME-B9"
