VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed
"Admiral Schmidt","Shanghai Shipyard Co, Ltd. China","Shanghai Merchant Ship Design &","Arctic Shipping &","China","","abt. 250m",""
"Aurora Spirit","Samsung Heavy Industries","Samsung Heavy Industries","Teekay Offshore","Republic of Korea","6 September 2019","Approx. 277m",""
"Berge Logan","Guangzhou Shipyard","Shanghai Merchant Ship Design &","Berge Bulk Maritime","China","November 2019","327.00m",""
"Bow Orion","Hudong-Zhonghua shipyard","Shanghai Merchant Ship Design &","Odfjell","China","28 February 2019","182.88m",""
"CB Adriatic","Jiangsu New Hantong Ship","Shanghai Merchant Ship Design & Research Centre (SDARI)","Elfte Büttner","China","26 August 2019","183.00m",""
"China Steel Liberty","CSBC Corporation, Taiwan","CSBC Corporation","China Steel Express","Taiwan","28 October 2019","299.7m",""
"Clipper Eos","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co., Ltd","Solvang","Republic of Korea","20 May 2019","abt. 159.9 m",""
"CMA CGM Argentina","Hyundai Samho Heavy","133,607t scantling: .......................................... 157,076t","Eastern Pacific Shipping / CMA CGM","Republic of Korea","31 January 2019","365.98m",""
"Dijilah","Samsung Heavy Industries","Samsung Heavy Industries","Al-Iraqia Shipping Services & Oil Trading (AISSOT)","Republic of Korea","1 July 2019","Approx. 333m",""
"Eagle Brasilia","Samsung Heavy Industries","Samsung Heavy Industries","AET Tankers Pte Ltd","Republic of Korea","17 January 2019","Approx. 250m",""
"Express 4","Austal Pty Ltd","Austal","Molslinjen","Australia","4 January 2019","109m",""
"GasLog Warsaw","Samsung Heavy Industries","Samsung Heavy Industries","GasLog Ltd","Republic of Korea","29 January 2019","297m",""
"Histria Atlas","Santierul Naval Constanta S.A. (Constanta Shipyard)","Ship Design & Consult GmbH","Histria Shipmanagement Srl","Germany","","180.00m",""
"Hourai Maru","Namura Shipbuilding Co., Ltd","MAN-B&W","Southern Pacific Holding","Japan","24 April 2019","182.97m",""
"Hunter Atla","Daewoo Shipbuilding & Marine","280,760t scantling: .......................................... 300,300t","Hunter Tanker AS","Republic of Korea","11 March 2019","336.0m",""
"Hypatia de Alexjandría","Cantiere Navale Visenini SRL","Cantiere Navale Visenini SRL","Balearia Eurolineas","Italy","24 September 2019","186.48m",""
"JS Ineos Marlin","Dalian Shipbuilding Offshore","JHW","Evergas Management AS","China","21 January 2019","231.57m",""
"Kai Oldendorff","Jiangsu Hantong Ship HI","Shanghai Merchant Ship Design & Research Institute (SDARI)","Oldendorff Carriers","Germany","28 March 2019","228.28m",""
"KMTC Tokyo","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co., Ltd","Mitsui & Co., Ltd","Republic of Korea","31 January 2019","172.07m",""
"Lachin","Baku Shipyard LLC","Marine Enginerring Bureau","Azerbaijan Caspian","Ukraine","28 February 2019","141.00m",""
"Laureline","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co., Ltd","CLdN Cobelfret","Republic of Korea","13 December 2019","abt. 216.5m",""
"Maran Gas Andros","Daewoo Shipbuilding & Marine","82,996t scantling: ............................................ 94,637t","Maran Gas Maritime Inc","Republic of Korea","4 January 2019","294.9m",""
"Mari Couva","Hyundai Mipo Dockyard Co.Ltd","Hyundai Mipo Dockyard Co., Ltd","Marinvest AB/Waterfront","South Korea","14 June 2019","183m",""
"Mater","Chengxi Shipyard Co, Ltd","SDARI","Mater Shipping Ltd/ Royal","China","16 August 2019","210.00m",""
"Matterhorn Explorer","Hyundai Samho Heavy","47,248t scantling: ............................................ 50,513t","CCB Financial Leasing Co., Ltd / Trafigura","Republic of Korea","14 June 2019","229.98m",""
"MSC Gülsün","Samsung Heavy Industries","Hyundai Heavy","Mediterranean Shipping","Switzerland","15 May 2019","399.903m",""
"MSC Josseline","Hyundai Heavy industries","Hyundai Heavy Industries","Zodiac Maritime / MSC","Republic of Korea","4 July 2019","Max.366.00m",""
"Navis-1","JCS Okskaya Sudoverf","Marine Engineering Bureau","State Transport Leasing","Ukraine","1 June 2019","123.17m",""
"Nissos Rhenia","Hyundai Heavy Industries","Hyundai Heavy Industries","Kyklades","Republic of Korea","29 May 2019","332.995m",""
"Nord Yucatan","Nantong Xiangyu Shipbuilding &","Shanghai Merchant Ship Design &","Nisshin Shipping Co., Ltd","China","4 May 2019","199.90m",""
"Oleander","Jiangsu New Yangzi","Shanghai Merchant Ship Design &","Bermuda Container Line","China","21 October 2019","120.0m",""
"Orange Stream","Guangxin Shipbuilding & Heavy","Seatrade/GSHI/GSD","Seatrade","Netherlands/China/Norway","January 2019","115.1m",""
"Prism Agility","Hyundai Heavy Industries","Hyundai Heavy Industries","SK Shipping","Republic of Korea","19 March 2019","298.97m",""
"Saga Dawn","China Merchants Heavy Industry","LNT Marine Pte. Ltd. in corporation with FKAB","Saga LNG Shipping Pte. Ltd","Singapore / Norway","10 May 2019","195,3m",""
"Samnøy","Tersa Tersanecilik AS","Bergen Engines","Torghatten Nord AS","Norway","November 2019","134m",""
"Sea Guaiba","Jiangsu New Times","Shanghai Merchant Ship Design &","POS Maritime JC S.A. / Pan","China","13 February 2019","339.90m",""
"Seatrade Green","Yangfan Group Co., Ltd","Seatrade / Yangfan / SDARI","Seatrade","Netherlands / China","12 November 2019","185.0m",""
"SITC Cebu","Jiangsu New Yangzi","Shanghai Merchant Ship Design &","SITC Shipowning Group","China","15 January 2019","188.80m",""
"Spirit of Discovery","Meyer Werft GmBH","Meyer Werft GmBH","Saga Cruises","Germany","October 2019","236.71m",""
"Tasmanian Achiever II","NanJing JinLing Shipyard","Sea Highways & NAOS","Toll Transport Pty Ltd","UK & Italy","20 June 2019","210m","117rpm"
"Turquoise P","Hyundai Heavy Industries","Hyundai Heavy Industries Co., Ltd","Pardus","Republic of Korea","25 October 2018","294.28m",""
"Vivit Dubhe","Hyundai Heavy Industries","Hyundai Heavy Industries","Vitol","Republic of Korea","29 March 2019","228.48m",""
"Zhong Gu Nan Hai","Nanjing Jinling Shipyard","Shanghai Merchant Ship Design &","Zhong Gu Shipping Group","China","20 March 2019","171.95m",""
"Zhong Hua Fu Xing","Shandong Huanghai","Shanghai Merchant Ship Design &","Bohai Ferry Co., Ltd","China","July 2019","212.00m",""
