VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed
"AIDAprima","Mitsubishi Heavy","8.05m","Costa Crociere / AIDA Cruises","Japan","","299.95m",""
"BBC BIRTE H","Jiangsu Hongqiang","10,482.5dwt","Krey Schiffahrts GmbH & Co. MS "Graf Johann" KG Leer","China","14 March 2016","147m",""
"British Nimbus","Hyundai Mipo Dockyard Co. Ltd","abt.39,600mt","ICBC LEASING / BP","Korea","14 May 2016","Abt, 183m",""
"BRITISH RESPECT","STX Offshore & Shipbuilding Co. Ltd","109,584.3tonnes","BP Shipping Limited","Republic of Korea","29 December 2016","Approx 249.85m",""
"Cape Akritas","Hanjin Heavy Industry & Construction Co., Ltd","13m (moulded)","Costamare Inc","Republic of Korea","5 February 2016","330m",""
"Carnival Vista","Fincantieri","9,745tonnes","Carnival Cruise Line","USA","20 September 2016","321.5m",""
"DLV 2000","Keppel Singmarine Pte Ltd","16,000tonnes","McDermott International Inc","United States of America","29 April 2016","184m",""
"DRIVE GREEN HIGHWAY","Japan Marine United Corporation","MAN B&W","JMU5044","Japan","7 June 2016","max. 199.99m",""
"Eeva VG","Royal Bodewes, Papenburg","5,019dwt","Gaiamare Ltd/Meriaura Ltd","Finland, Netherlands","9 February 2016","103m",""
"Engie Zeebrugge","Hanjin Heavy Industry & Construction Co., Ltd","4.7m","LNG Link Investment","Republic of Korea","30 September 2016","abt. 107.6m",""
"Ethane Crystal","Samsung Heavy","52,500tonnes","Reliance Industries Limited","Republic of Korea","15 December 2016","228m",""
"GENER8 HECTOR","Hanjin Heavy Industry & Construction Co. Ltd","20.5m (moulded)","Navig8 Tankers","Republic of Korea","October 2016","333m",""
"KONINGSDAM","Fincantieri","7,840tonnes","Holland America Line","Norway /USA","15 December 2016","299.65m",""
"La Mancha Knutsen","Hyundai Heavy Industries","81,700mt","Knutsen OAS Shipping","Republic of Korea","31 March 2016","289.9m",""
"Lindanger","Hyundai Mipo Dockyard Co., Ltd","43,200tonnes","Westfal-Larsen","Korea","21 September 2016","abt. 186m",""
"LNG FUKUROKUJU","Kawasaki Heavy Industries","about 80,400tonnes","LNG FUKUROKUJU","Japan","18 April 2016","293m",""
"Manchac Sun","Minaminippon","MITSUI-MAN B&W","FGP Shipbuilding","Japan","17 June 2016","186m",""
"MILOS","Sungdong Shipbuilding & Marine Engineering","144,460tonnes","Kyklades Maritime","Republic of Korea","28 September 2016","277.27m",""
"NAVIG8 TURQUOISE","STX Offshore & Shipbuilding","11m","Navig8","Republic of Korea","October 2016","appx. 182.9m",""
"Nord Isabella","Guangzhou Wenchong Shipyard","24,876tonnes","Reederei Nord","China","12 April 2016","195m",""
"NYK BLUE JAY","Japan Marine","Japan Marine United Corporation","Operator: ........... Rindou Ship","Japan","January 2016","364.15m",""
"Palanca Maputo","Hyundai Mipo Dockyard Co Ltd","32,400tonnes","Wisby Tankers","Korea","22 February 2016","abt. 183m",""
"RB JORDANA","Sungdong Shipbuilding & Marine Engineering","64,800tonnes","Reuben Brothers","Republic of Korea","October 2016","229m",""
"SALISH ORCA","Remontowa Shipbuilding","4.65m","British Ferry Services","Poland","May 2016","107.2m",""
"SC AQUARIUS","Jiangsu Hantong","9.5m","Goldwin Shipping Limited","China","22 November 2016","182.80m",""
"Seabourn Encore","Fincantieri","3,500dwt","Seabourn Cruise Line","Italy","June 2016","210.5m",""
"Seaspan Swift","Sedef Shipyard","2,796tonnes","Seaspan Ferries","Canada","30 November 2016","148.9m",""
"SEATRADE ORANGE","Yangfan Group","22,345tonnes","Seatrade Groningen","China","In service from 22 January 2016","185m",""
"SERI CAMELLIA","Hyundai Heavy Industries","72,900tonnes","MISC","Republic of Korea","August 2016","290.2m",""
"Seven Seas Explorer","Fincantieri","5,178tonnes D=7.02","Regent Seven Seas Cruises","Italy","30 September 2016","224.02m",""
"SHI JIANG","Xiamen Shipbuilding","6.0m","Shanghai Kingfour","China","30 June 2016","141.2m",""
"SHTURMAN ALBANOV","Samsung Heavy","38,000dwt","Sovcomflot","Republic of Korea","August 2016","249m",""
"SILKEBORG","Tai Zhou Sanfu Ship","10,424tonnes","Nordana","China","16 August 2016","138m",""
"SUNRAY","Sungdong Shipbuilding & Marine Engineering","58,914tonnes","Tsakos Energy Navigation","Republic of Korea","January 2016","219m",""
"Tian Zhen","Guangzhou Huangpu","Shanghai Merchant Ship Design &","COSCO Shipping Co. Ltd","China","August 2016","189.99m",""
"TORDIS KNUTSEN","Hyundai Heavy Industries","156,300tonnes","Knutsen NYK Offshore","Republic of Korea","May 2016","Abt. 284.3m",""
"TRINITY","Hyundai Samho Heavy","16m","Diamond/Anglo Eastern Ship","Republic of Korea","28 November 2016","274.17m",""
"VALPARAISO EXPRESS","Hyundai Samho","12.5m","Hapag-Lloyd","Republic of Korea","29 March 2016","333.18m",""
"Yara Kara","Hyundai Mipo Dockyard Co., Ltd","14,000tonnes","YARA LPG Shipping","Korea","2 November 2016","abt. 159m",""
"YM Window","CSBC Corporation, Taiwan","123,038.65tonnes","GC Intermodal XIII, LTD","Taiwan, R.O.C","22 June 2016","368m",""
"YU PENG","COSCO (Dalian) Shipyard Co. Ltd","26,428.3dwt","Dalian Marine University","China","6 May 2016","199.8m",""
