FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SSS 2020","A.P.T. James","Austal Vietnam","Austal Ships","National Infrastructure","Trinidad and Tobago","November 2020","94m","44knots","","6,542tonnes","0","","MAN","16V 28/33D"
"SSS 2020","Belov Humaitá","Sanmar Shipyards","Robert Allan Ltd","Sanmar","Turkey","January 2020","24.4m","13.42knots","","315tonnes","0","545tonnes","CAT","2 × 3512C / 1 × C32"
"SSS 2020","Bryggen","Cantiere Navale Vittoria","Damen Shipyards Group","Italian Coast Guard","Italy","September 2020","20.1m","35+knots","","101.29tonnes","2","33.3tonnes","MTU","8V 2000 M84L"
"SSS 2020","FSD N800","Ferretti Security Division / Ferretti S.p.A","Ferretti Security Division","Arma dei Carabinieri –","Italy","October 2020","16.75m","34knots","","","1","25.5tonnes (laden) 21.7tonnes (unladen)","MAN","i6-800"
"SSS 2020","H401 / Curiosity / City Fish","Halimar, Breaux Brothers, St Johns","Incat Crowther","NYC Ferry","US","April 2020","29.6m","26.5knots","","","3","","Baudouin","12 M26.3"
"SSS 2020","Helen Rice","Ferguson Marine","Macduff Ship Design","Inverlussa Marine Services","UK","March 2020 aunched in March, Helen Rice was designed by Macduff Ship Design and completed by","21m","10.5knots","","","0","240tonnes","Doosan","4L126TIH"
"SSS 2020","I See One","Wight Shipyard Co","One2Three Naval Architects","Captain Morgan","Malta","March-April 2020","34.04m","30knots","","211tonnes","4","","MAN","D2862 LE422"
"SSS 2020","Kaguya","Kawasaki Heavy Industries","Kawasaki Heavy Industries","Central LNG Shipping","Japan","September 2020","81.7m","","","4,044tonnes","0","","Taiyo Electric Co","IW 400L"
"SSS 2020","Koc Al Zour","Uzmar Gemi Insa","Robert Allan Ltd","Kuwait Oil Company","Kuwait","February 2021","60m","13.8knots@100% MCR","","1,855tonnes","0","3,162tonnes","Yanmar","6EY26"
"SSS 2020","Lady Comeau III","Astilleros Armon Vigo","Allswater","Comeau Sea Foods","Canada","August 2020 ady Comeau III, which was built for Comeau Sea","49.7m","13.2knots","","1,476tonnes","0","1,530.14tonnes","MaK","6M25E"
"SSS 2020","M15Q","Marell Boats Sweden AB","Marell Boats","TBA","Sweden","June 2020 020 saw the launch of Marell Boats' M15 Quad","14.475m","67knots","","","1","9.3tonnes","Mercury","450R"
"SSS 2020","Mayflower 400","Aluship / M Subs Ltd","M Subs Ltd & Whiskerstay Ltd","ProMare","US","N/A (launched","14.833m","10knots","","","0","9.1m3","Teignbridge","R24 Hi Skew"
"SSS 2020","Noé","META Shipyard","CBA Architects","SAS Noé","France","N/A","23.92m","11knots while charged at 50tonnes","","","0 (1 hull in construction)","48tonnes (without ballasts, approx. 60tonnes with ballasts)","Transfluid","Custom-made"
"SSS 2020","Olympic Prawn","Cemre Shipyard","Kongsberg","Olympic Seafood AS","Norway","December 2020","69.91m","18knots","","3,318tonnes","0","4,540tonnes","Bergen","45 L9"
"SSS 2020","Patria 22","PT Patria Maritim Perkasa","OSD-IMT","PT Patria Maritime Lines","Indonesia","August 2020","23.6m","10-12knots","","203tonnes","0","","Yanmar","6AYM-WET"
"SSS 2020","Queen Beetle","Austal","Austal","JR Kyushu Jet Ferry Inc","Japan","September 2020","83.5m",">40knots","","2,600tonnes","0","750tonnes","MTU","16V 1163 M74"
"SSS 2020","Saoirse na Farraige","Cheoy Lee Shipyards Ltd","BMT UK Ltd","Island Ferries Teoranta","Ireland","August 2020","39.8m","","","424tonnes","0","157tonnes","Caterpillar","C32"
"SSS 2020","Seacat Weatherly","Diverse Marine","Chartwell Marine","Seacat Services","UK","June 2020 eacat Weatherly is the first next-generation","23.8m","29knots","","111tonnes","1","78tonnes","MTU","2000 M72"
"SSS 2020","Seaway Guardian","Gulf Island Shipyard","Robert Allan Ltd","Saint Lawrence Seaway","US","August 2020","36m","14.5knots@100% MCR","","729tonnes","0","1,077tonnes","Caterpillar","3516E"
"SSS 2020","Solar Eclipse","Azura Marine","Azura Marine","Azura Marine Indonesia","Indonesia","May 2020","13.25m","8knots","","16.5tonnes","0","10tonnes","Fischer Panda","10kW BLDC"
"SSS 2020","Sunderøy","Astilleros Gondan","Rolls-Royce Marine","Prestfjord Seafood","Norway","October 2020","77.2m","","","4,226tonnes","1","5,573tonnes","Bergen","45V12"
"SSS 2020","Terror","Coastal Workboats Ltd","Incat Crowther","British Antarctic Survey","UK","June 2020","14.3m","12.1knots","","","0","25.397tonnes","Doosan","L086TIH"
"SSS 2020","Thea Jensen","Maritime Partner","Lindstøl Ship","Loppa Legeskyssbåter","Norway","September 2020","23.1m","30.5knots","","115tonnes","0","","Volvo Penta","D13-IPS1050 C4"
"SSS 2020","VICTA","SubSea Craft Ltd","SubSea Craft Ltd in partnership with BAR Technologies","SubSea Craft Ltd","UK","Autumn 2021 aunched in 2020 as a concept vessel, VICTA is a revolutionary diver delivery unit (DDU), a surface/submersible craft designed to operate at speed over range and capable of transition beneath the surface to operate submerged, enabling the discreet delivery and recovery of divers","11.95m","40knots","","","0","6,919kg (dry) 9,315kg (full load)","SeaTek","725 Plus sub-marinised diesel"
