FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2021","AlteraWave","SamsungHeavyIndustriesCo.Ltd","4- strokeengine","AlteraInfrastructure","RepublicofKorea","","Approx.245m","","","","","128,000t","SamsungHeavyIndustries","Samsung","3"
"SS 2021","Aquasmeralda","JiangsuNewYangzi","MANB & W","Chandris","China","","182.55m","","","29,725t","","","ShanghaiMerchantShipDesign & ResearchInstitute,CSSC(SDARI)","ChinaShip","2"
"SS 2021","Arabella","IcdasCelikEnerjiTersaneve","Wärtsilä","GEFOGesellschaftfür","Turkey","","110.00m","","","5,582t","","10,830t","DeltaMarineEngineeringand","Analysedby","2"
"SS 2021","ArvikI","JapanMarineUnited","MANEnergySolutionsSE","FednavLimited","Japan","","188.80m","","","22,615t","","","JapanMarineUnitedCorporation","EvacMBR4K","2"
"SS 2021","AutoAdvance","JiangnanShipyard(Group)","WinGD","UnitedEuropeanCar","China","","169.10m","","","35,667t","","","ShanghaiMerchantShipDesign","ShanghaiShip &","3"
"SS 2021","Azerbaijan","BakuShipyardLLC","dieselengine","AzerbaijanCaspian","Ukraine","","154.50m","","","8,523t","","10,438t","MarineEngineeringBureau","8L26","2"
"SS 2021","BellavistaExplorer","HyundaiSamhoHeavy","MANEnergySolutions","BocommLeasing","RepublicofKorea","","229.98m","","","52,868t","","78,878t","HyundaiSamhoHeavyIndustries","S- band(FAR- 3330S- SSD),X- band(FAR- 3320- NXT)","2sets(S- band,X- band)"
"SS 2021","BelleLune","TsuneishiZhoushan","Tsuneishi","NissenKaiunKK","Japan","","180m179.99m","","","26,700t26,272t(ClassNK)","","","Miura","5- cylinder2- stroke","1totallyenclosedfreefall– 25persons,1rescueboat– 6persons,2liferaftseach25persons"
"SS 2021","BlueMarjan","ConcordiaDamen","Generatorengineformainpropulsion","Jupiter8Limited","Netherlands","","110.00m","","","","","3,769t","ConcordiaDamen","CFD","2"
"SS 2021","Calypso","CSSCChengxiShipyard","AzipodUnits","OldendorﬀCarriers","Netherlands /China /Germany","","145m","","","23,739t","","31,181.4t","EideMarineEngineeringB.V /CSMarine /OldendorﬀCarriersGmbH & Co.KG","STP2016-100","2"
"SS 2021","CapeAce","NamuraShipbuildingCo.,Ltd","MANB & W","KawasakiKisen","Japan","","249.94m","","","60,133t","","","NamuraShipbuildingCo.,Ltd","SBH - 40","2"
"SS 2021","CenturyHighwayGreen","TadotsuShipyardCo.,Ltd","ImabariShipbuildingCo.,Ltd","KawasakiKisen","Japan","","abt.199.98m","","","73,515t","","","OsakaBoilerMfgCo.Ltd","8S50ME- C9.6- GIEGRforNOxreductionwhenrunningonoil","1"
"SS 2021","Cherokee","CSSCHuangpuWenchong","MAN","CGRailwayInc","China","","180.0m","","","31,400t","","","CSSCShanghaiMerchantShip","ChinaShip","2"
"SS 2021","DoleMaya","CSSCChengxiShipyard","MANB & W","VenturaTradingLtd","China","","195.00m","","","28,780t","","47,430.1t","ShanghaiMerchantShipDesign & ResearchInstitute,CSSC(SDARI)","Shanghai","2"
"SS 2021","EleanorRoosevelt","AstillerosArmon","Wärtsilä LJX1500","Balearia","Australia","","123.0m","","","","","","IncatCrowther","SLVJ850","2"
"SS 2021","Faustine","HyundaiMipoDockyard","MANES","CLdN","RepublicofKorea","","216.47m","","","50,450t","","","HyundaiMipoDockyard","JMR- 9282- S & JMR- 9225- 9X","2"
"SS 2021","FerryKyoto","MitsubishiShipbuilding","JFEEngineeringCorporation","JapanRailway","Japan","","195.00m","","","33,390t","","","MitsubishiShipbuildingCo.,Ltd","CRP- 9000,CR-125H","1"
"SS 2021","GasGabriella","HyundaiHeavyIndustry","Hyundai- MANB & W","KSSLineLtd","RepublicofKorea","","229.98m","","","48,858t","","","HyundaiHeavyIndustryCo.,Ltd","MAXIT50SLWS","2"
