FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2013","ANDA","Swede Ship Marine","","Kartverket","Norway","December 2013","11.15m","28knots","","","0","12.4tonnes","Iveco","N67 ENT M45","2"
"SSS 2013","Astra G/ Aquarius G","Maaskant Shipyards Stellendam","Saltwater Engineering","Rederij Groen","The Netherlands","April / May 2013 2013 saw The Netherlands-based Damen","40m","","","499tonnes","0","","Caterpillar","C32 Acert","2"
"SSS 2013","Bert and Anneke Knape","Habbeké Shipyard","DSMG","KNRM","Holland","August 2013","9.15m","34knots","","4tonnes","3","","Volvo Penta","D6-435","1"
"SSS 2013","Borgøy","Sanmar","Marine Design","Buksér og Berging","Norway","October 2013","35m","","","757tonnes","1","","Rolls-Royce Bergen","33L6PG","2"
"SSS 2013","Calais Majest’In","Baltic Workboats","Stirling Design International","Syndicat Intercommunal des","France","May 2013","19.7m","","","","0","","Baltic Workboats","","1"
"SSS 2013","Elizabeth Cook","Richardson Devine Marine","0.87m (from BL) 1.35m (from lowest point of keel)","Captain Cook Cruises","Australia","July 2013","20.3m","30knots","","48tonnes","3","34tonnes","Incat Crowther","D16","2"
"SSS 2013","Francisco","Incat Tasmania","1.4m","Buquebus","Uruguay","November 2013","23.9m","24knots","","17.5tonnes","0","","Revolution Design","MGX5114SC","2"
"SSS 2013","Grampian Sovereign","Astilleros Balenciaga","3.09m","Craig Group / North Star Shipping","UK","July 2013","99m","","","7,109tonnes","0","1,563tonnes","OSD-IMT","LJX 1720 SR","150"
"SSS 2013","Isefjord","Western Marine Shipyard","5m","Hundested-Rorvig Faergefart","Denmark","May 2013","83.2m","14knots+","","3,104tonnes","1","","Jorgen Petersen Ltd / Norman Marine","MaK 9M20","1"
"SSS 2013","Jin Gang Lun 26","Shanghai Harbour","2.25m","Tianjin Port","China","February 2013","51m","14knots","","475tonnes","0","","Robert Allan Limited","STP 0330 FP","24 cars / 2 trucks"
"SSS 2013","Jock and Annie Slater","SAR Composites / Berthon Boat Company","4.2m","RNLI","UK","November 2013","35m","14.3knots","","583tonnes","0","1,059tonnes","RNLI FCB2 Project Team","8DKM-28eF","5"
"SSS 2013","Luigi Dattilo","Fincantieri","1m","Comando Generale del Corpo delle Capitanerie di Porto – Guardia Costiera Italiana","Italy","July 2013 2013 saw the delivery of the UK Royal National","13.6m","25knots","","","0","17.48tonnes","Fincantieri","1 ratio","1 (survivor’s space)"
"SSS 2013","MYA II","Fassmer","4.64m","Alfred-Wegener-","Germany","September 2013","94.2m","18knots","","3,990tonnes","0","3,600tonnes","Fassmer","PWVC 630-435C","10 (minivans)"
"SSS 2013","OCEAN TundRA","Ocean Industries","1.3m","Ocean Group","","July 2013","21.68m","","","75tonnes","0","100tonnes","Robert Allan Ltd","2000","1"
"SSS 2013","Peter Fraser","Chantier Naval Forillon","5.49m ABL","Société des traversiers du Québec","Canada","December 2013","36m","14knots","","708tonnes","0","1,250tonnes","Navtech Inc","9M25C","6"
"SSS 2013","Proteus of Liverpool","Blyth Workcats","1.1m","Osiris Projects","UK","September 2013","33.6m","","","291.8tonnes","0","340tonnes","Blyth Workcats","D16MG","1"
"SSS 2013","Response Boat Medium-C","Kvichak Marine Industries","1.2m","L.A County Sherriff’s","US","October 2013","14m","24knots","","13.41tonnes","0","20tonnes","Camarc Design","MG5082A","2 (sleeps 4)"
"SSS 2013","Sea Breeze","Danish Yachts","0.9m","Odfjell Wind / A2SEA","Denmark","August 2013","13.4m","","","","0","","Danish Yachts / Hauschildt Marine","MG5114SC","2"
"SSS 2013","SEACOR Lynx","Gulf Craft","2.06m (cat mode) 2.49m (SWATH mode)","SEACOR Marine","","April 2013","24.76m","23knots","","243.8tonnes","3","138.7tonnes","Incat Crowther","HD220HR/HL","3 x one-man 1 x two-man"
"SSS 2013","Sea Fox","Navalu","1.7m","Enviro-serve Ltd","UK","June 2013","58.6m","42knots","","495.7tonnes","1","","Navalu","MGX 62000-SCH","5"
"SSS 2013","Shanna","Strategic Marine Vietnam","1.65m","National Ferries Company","Oman","October 2013","24m","26knots","","195tonnes","0","77tonnes","Sea Transport Solutions","MGX5135A","2 x 4-man, 2 x 2-man"
"SSS 2013","SM16","SOLAS Marine Lanka (Sri Lanka) / SOLAS Marine Group (UAE)","1.5m","Indian Navy","India","November 2013","45.8m","18knots","","649tonnes","1","320tonnes","Albatross Marine Design","MGX 5114SC Vertical Offset","4"
"SSS 2013","SRA 750","Zodiac Milpro","0.8tonnes","French Navy","France","March 2013","16.3m","50knots","","","12","18.2tonnes","Zodiac Milpro","C-18","2"
"SSS 2013","Sverri","Safehaven Marine","1.08tonnes","Faroe Islands Rescue Service","Faroe Islands","July 2013","7.36m","45knots","","","0","2.9tonnes","Frank Kowalski","","Single or twin"
"SSS 2013","CTruk THOR","CTruk","1.3m","CTruk","UK","August 2013","14.5m","30knots","","","1","20.4tonnes","CTruk","D11","2"
