FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed,ImoNumber,Gross,MainEngineDesigner,MaunEngineModel
"CSVFiles/SSS 2005,csv","9 94 41 1","D","N/A","R","S","2 20 00 04 4/ /2 20 00 05 5","14,00","","","","Scania","DSI14"
"CSVFiles/SSS 2005,csv","B","S","S","S","M","2 28 8 A","40,00","","","","Cummins","KTA 38 M2"
"CSVFiles/SSS 2005,csv","","N/A","N/A","N/A","N/A","","","","","","Westmar V2 - 20",""
"CSVFiles/SSS 2005,csv","B","R","R","C","U","2 22 2 J","72,00","15,00","","2612","MAK","8M20"
"CSVFiles/SSS 2005,csv","","N/A","N/A","N/A","N/A","","","","","","MAK","6M20"
"CSVFiles/SSS 2005,csv","C","B","B","S","U","1 19 9 N","49,00","","","49892","Cummins","KTA 38MO"
"CSVFiles/SSS 2005,csv","D","E","D","D","P","M","78,00","12,00","","1587","Deutz","TBD 616 V12"
"CSVFiles/SSS 2005,csv","………………,,,,,,,,,F","……………………………,,,,A","…………,,A","………F","R","1 16 6 J","","","","6882","","8L38B"
"CSVFiles/SSS 2005,csv","F","N","N","M","T","2 27 7 M","75,00","16,00","","3239","Wärtsilä","6L32"
"CSVFiles/SSS 2005,csv","G","B","I","N","U","3 30 0 A","48,00","12,00","","1125","MaK","8M20"
"CSVFiles/SSS 2005,csv","K","A","R","R","N","F","83,00","18,00","","3120","Bergen","32:40L8P"
"CSVFiles/SSS 2005,csv","H","A","A","H","G","M","85,00","","","","Caterpillar","3618"
"CSVFiles/SSS 2005,csv","H","A","A","R","A","M","56,00","25,00","","","MTU","16V 4000 M70"
"CSVFiles/SSS 2005,csv","H","V","V","V","U","J","9,00","38,00","","","Yanmar","6LY"
"CSVFiles/SSS 2005,csv","K","D","D","K","U","A","19,00","","","","Caterpillar","3412D-TTA"
"CSVFiles/SSS 2005,csv","L","W","C","S","C","D","33,00","30+knots","","323","MTU","16V2000M70"
"CSVFiles/SSS 2005,csv","L","R","R","M","I","5 5 M","82,00","","","","Caterpillar","3608 diesels"
"CSVFiles/SSS 2005,csv","M","A","A","V","M","D","68,4","","","","MTU","16V 4000 M71"
"CSVFiles/SSS 2005,csv","M","F","R","F","U","A","23,00","13,00","","200","Caterpillar","3512B"
"CSVFiles/SSS 2005,csv","M","A","R","R","C","F","19,00","","","","Caterpillar","C18"
"CSVFiles/SSS 2005,csv","R","A","C","R","S","F","33,00","","","","MAN B&W","7L27/38"
"CSVFiles/SSS 2005,csv","S","S","B","V","N/A","J","43,00","","","","MTU","16V4000 M70"
"CSVFiles/SSS 2005,csv","S","N","B","U","U","1 1 J","79,00","55,00","","3234","2 x GE gas turbines; 2 x MTU diesels","2 x LM2500; 2 x 16V 595 TE90"
"CSVFiles/SSS 2005,csv","S","C","M","A","S","4 4 F","8,00","8,00","","916","Mitsubishi","6D16"
"CSVFiles/SSS 2005,csv","S","C","- -","H","H","F","29,00","13,00","","297","3,50m",""
"CSVFiles/SSS 2005,csv","","N/A","N/A","N/A","N/A","","","","","","Niigata","6L 26HLX"
"CSVFiles/SSS 2005,csv","S","S","S","D","U","8 8 J","14,00","21,00","","","Scania (Great Britain)","DI9 55M"
"CSVFiles/SSS 2005,csv","S","V","C","G","U","M","32,00","","","","Scania","DSI 12, 41M"
"CSVFiles/SSS 2005,csv","S","I","R","P","D","S","33,00","13,00","","","MAK","6M25"
"CSVFiles/SSS 2005,csv","T","S","F","P","U","1 1 A","12,00","23,00","","19","Scania","DI9"
"CSVFiles/SSS 2005,csv","V","A","R","Ø","N","F","37,00","14,00","","","Rolls-Royce/Bergen Diesel","33L8P"
