FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SS 2008","Al Ghuwairiya","Daewoo Shipbuilding & Marine","Daewoo Shipbuilding & Marine","Qatar Gas Transportation","","","345.00m","","9372743","168,189gt","Nil","205,706tonnes","MAN B&W","7S70ME-C"
"SS 2008","Argolikos","Hanjin Heavy Industries &","DSME/Hyundai Heavy Industries","Argolikos Navigation Inc, Liberia/Dioryx Maritime Corp, Greece","","October 2008","258.92m","","9385611","40,450gt","Nil","","MAN B&W","8K90MC-C"
"SS 2008","Armorique","Aker Yards (Helsinki yard), Finland","Mecklenburger Metallguss (MMG)","Brittany Ferries, France","","2 July 2008","168.00m","","9364980","approx 28,500gt","Nil","","MaK","12VM43C"
"SS 2008","Azur","Oshima Shipbuilding Co Ltd, Japan","Wärtsilä","Azur Shipping Corp, Marshall","","December 2008","224.86m","","9314648","42,712gt","-","","MAN B&W","5S60MC-C"
"SS 2008","Brasil Maru","Mitsui Engineering &","Nakashima Propeller Co Ltd","Tamou Line SA, Panama/ Misui OSK Lines, Japan","","12 November 2007","340.00m","","9321275","160,774gt","Nil","","MAN B&W","7S80MC-C (Mk7)"
"SS 2008","City of Hamburg","Singapore Technologies Marine","Nakashima Propeller Co","Seaplane Two SAS (joint venture of Louis Dreyfus Armateurs SAS, France, and Höegh Autoliners, Norway)","","7 December 2007","126.50m","","9383558","13,548gt","Nil","","………..MAN","8L32/40"
"SS 2008","Clipper Mars","Hyundai Heavy Industries Co","Schottel","Partrederiet Clipper","","3rd quarter 2008","204.90m","","9377078","36,459gt","2","","MAN B&W","5S60MC-C7"
"SS 2008","Clipper Point","Astilleros de Huelva SA, Spain","Hyundai Heavy Industries, Machinery Division","Seatruck Ferries Ltd, UK /Clipper Group Ltd, Bahamas","","11 November 2008","142.00m","","-","14,759gt","Nil","","Wärtsilä","8L46"
"SS 2008","CMA CGM Vela","Daewoo Shipbuilding & Marine","-","Conti Reederei, Germany/CMA CGM SA, France","","2008","347.00m","","9354923","128,949gt","-","143,000tonnes scantling. ...................................................170,200tonnes","MAN B&W","12K98ME-C7"
"SS 2008","Color SuperSpeed I","Aker Yards (Rauma yard), Finland","Daewoo/Hyundai Heavy","Color Line A/S, Norway","","17 October 2008","212.75m","","9378682","34,231gt","Nil","","Wärtsilä","9L46"
"SS 2008","Combi Dock 1","Lloyd Werft Bremerhaven","Rolls-Royce Kamewa","Combi Lift Shipping A/S, Denmark/Harren & Partner Schiffahrts","","6 January 2008","162.30m","","9400473","","Nil","","MAN","9L32/44"
"SS 2008","CPO France","Hyundai Mipo Dockyard Co Ltd (HMD), Korea","Schottel","Reederei Claus-Peter Öffen","","21 January 2008","184.30m","","9347308","23,353gt","4","","MAN B&W","6S50MC-C"
"SS 2008","Cruise Roma","Fincantieri Cantieri Navali Italiani (Castellammare di Stabia yard), Italy","-","Inarme SpA/Grimaldi Group, Italy","","28 April 2008","225.00m","","9351476","53,360gt","Nil","","Wärtsilä","12V46D"
"SS 2008","Dante A","Astilleros de Huelva SA, Spain","Wärtsilä Propulsion","Amoretti Armatori Group, Italy/Marittima Etnea Srl, Italy","","13 March 2008","119.00m","","9361029","9568gt","Nil","16.980tonnes","Wärtsilä","8L32"
"SS 2008","Dapeng Sun","Hudong-Zhonghua","Wärtsilä","Yue Peng LNG","","4 February 2008","292.00m","","9308479","97,871gt","Nil","","Steam turbine","Kawasaki UA-400"
"SS 2008","Emirates Star","STX Shipbuilding Co Ltd, Korea","STX Shipbuilding Co Ltd, Korea","Emirates Trading","","3 April 2008","183.00m","","9404223","29,734gt","2","","…MAN B&W","6S50MC-C Mk7"
"SS 2008","Fair Seas","STX Shipbuilding Co Ltd, Korea","Silla","Fair Seas Navigation Ltd, Marshall Islands (Aktif Denizcilik Bilgisayar","","23 May 2008","250.00m","","9405057","62,856gt","3","134,426tonnes","MAN B&W","6S60MC-C Mk 8"
"SS 2008","Fesco Vitim","Stocznia Szczecinska","STX/Hyundai Heavy Industries","Mare Space Shipping, Cyprus/ Far Eastern Shipping Co (FESCO), Russia","","7 July 2008","184.10m","","","16,803gt","Nil (this updated series)","","Sulzer","6RTA62U"
"SS 2008","Gulf Baynunah","Hyundai Mipo Dockyard","HSVA/-","Gulf Energy Marine, United Arab Emirates","","23 August 2008","183.22m","","9381562","29,508gt","Nil","","MAN B&W","6S50MC-C"
"SS 2008","Gypsum Integrity","Estaleiro Ilha SA, Brazil","CR Cushing & Co Inc, USA/EISA, Brazil/Projemar, Brazil","Gypsum Transportation","","17 October 2008","197.10m","","9405162","32,900gt","","","Wärtsilä","6RT-flex58T-B"
"SS 2008","Horizon Armonia","SPP Shipbuilding Co Ltd, Korea","Wärtsilä Lips","Target Marine SA, Greece","","February 2009","183.00m","","9407354","30,040gt","Nil (for this owner)","68,850tonnes","MAN B&W","6S50MC-C7"
"SS 2008","HOS Achiever","Krimpen Shipyard (IHC Merwede), The Netherlands","Silla Metal Co Ltd","Hornbeck Offshore","","8 July 2008","131.70m","","9414163","8524gt","1","13,060tonnes","MAN","9L27/38"
"SS 2008","Island Sky","Vancouver Shipyards Co Ltd, Canada","Vancouver Shipyards Co Ltd, Canada","British Columbia Ferry","","12 August 2008","102.40m","","9370458","4313gt","","3400tonnes","Niigata","6L25HX"
"SS 2008","Korsaro","Deniz Industry Co/Cicek","Niigata","Gemini Denta Gemi Insa","","November 2008","169.90m","","9373137","17,548gt","1","33,591tonnes","MaK","9M43C"
"SS 2008","Lady Giovi","Mitsui Engineering &","ZF","Santoku Senpaku Co Ltd, Japan","","2008","225.00m","","9389227","43,408gt","Nil","","Mitsui-MAN B&W","6S60MC-C (Mk7)"
"SS 2008","Maersk Algol","Samsung Heavy Industries","Nakashima Propeller Co","AP Møller, Denmark","","10 December 2007","338.00m","","9342528","-","4","-","Wärtsilä","12RT-flex96C"
"SS 2008","Mari Ugland","Brodosplit Shipyard","Samsung/Mecklenburger","LR Ice Shipping Eight","","16 April 2008","228.50m","","9326885","42,835gt","4","90,218tonnes","MAN B&W","6S60MC-C (non-reversible)"
"SS 2008","Mariloula","Daewoo Shipbuilding & Marine","Rolls-Royce (Kamewa)","Chandris (Hellas) Inc, Greece","","12 February 2008","291.90m","","9434553","90,000gt","Nil","","MAN B&W","6S70MC-C"
